condition,subject,trial,su,rotation,rt,mt,ep
blocked,25,1,0.0,0.0,234,458,-1.68
blocked,25,2,0.0,0.0,367,66,-1.52
blocked,25,3,26.78,0.0,316,67,-1.56
blocked,25,4,26.78,0.0,283,59,-1.55
blocked,25,5,0.0,0.0,287,48,-1.51
blocked,25,6,26.78,0.0,314,77,-1.57
blocked,25,7,0.0,0.0,290,66,-1.46
blocked,25,8,0.0,0.0,283,75,-1.56
blocked,25,9,0.0,0.0,298,85,-1.65
blocked,25,10,26.78,0.0,295,71,-1.63
blocked,25,11,0.0,0.0,308,76,-1.66
blocked,25,12,26.78,0.0,280,60,-1.7
blocked,25,13,0.0,0.0,292,66,-1.57
blocked,25,14,26.78,0.0,285,59,-1.58
blocked,25,15,26.78,0.0,280,59,-1.54
blocked,25,16,26.78,0.0,361,65,-1.59
blocked,25,17,0.0,0.0,266,67,-1.58
blocked,25,18,26.78,0.0,275,58,-1.51
blocked,25,19,26.78,0.0,299,76,-1.64
blocked,25,20,0.0,0.0,284,73,-1.54
blocked,25,21,26.78,0.0,275,75,-1.66
blocked,25,22,26.78,0.0,314,68,-1.64
blocked,25,23,0.0,0.0,277,58,-1.62
blocked,25,24,26.78,0.0,256,50,-1.6
blocked,25,25,0.0,0.0,241,76,-1.56
blocked,25,26,0.0,0.0,359,75,-1.57
blocked,25,27,0.0,0.0,292,58,-1.54
blocked,25,28,0.0,0.0,278,59,-1.63
blocked,25,29,26.78,0.0,249,59,-1.58
blocked,25,30,0.0,0.26,275,67,-1.79
blocked,25,31,0.0,0.26,292,66,-1.75
blocked,25,32,0.0,0.26,301,75,-1.75
blocked,25,33,0.0,0.26,261,75,-1.71
blocked,25,34,0.0,0.26,300,67,-1.61
blocked,25,35,0.0,0.26,315,86,-1.66
blocked,25,36,0.0,0.26,329,80,-1.59
blocked,25,37,0.0,0.26,257,66,-1.63
blocked,25,38,0.0,0.26,246,67,-1.59
blocked,25,39,0.0,0.26,300,67,-1.6
blocked,25,40,0.0,0.26,294,66,-1.58
blocked,25,41,0.0,0.26,317,75,-1.65
blocked,25,42,0.0,0.26,333,83,-1.54
blocked,25,43,0.0,0.26,300,75,-1.65
blocked,25,44,0.0,0.26,327,62,-1.52
blocked,25,45,0.0,0.26,331,83,-1.65
blocked,25,46,0.0,0.26,259,67,-1.62
blocked,25,47,0.0,0.26,301,90,-1.54
blocked,25,48,0.0,0.26,319,64,-1.69
blocked,25,49,0.0,0.26,278,90,-1.55
blocked,25,50,0.0,0.26,295,75,-1.62
blocked,25,51,0.0,0.26,347,92,-1.63
blocked,25,52,0.0,0.26,291,84,-1.54
blocked,25,53,0.0,0.26,300,83,-1.58
blocked,25,54,0.0,0.26,275,86,-1.58
blocked,25,55,0.0,0.26,333,75,-1.63
blocked,25,56,0.0,0.26,275,66,-1.64
blocked,25,57,0.0,0.26,350,66,-1.6
blocked,25,58,0.0,0.26,350,66,-1.62
blocked,25,59,0.0,0.26,266,67,-1.62
blocked,25,60,0.0,0.26,251,63,-1.64
blocked,25,61,0.0,0.26,293,61,-1.57
blocked,25,62,0.0,0.26,141,84,-1.63
blocked,25,63,0.0,0.26,308,59,-1.53
blocked,25,64,0.0,0.26,291,67,-1.65
blocked,25,65,0.0,0.26,294,57,-1.56
blocked,25,66,0.0,0.26,316,59,-1.59
blocked,25,67,0.0,0.26,299,58,-1.61
blocked,25,68,0.0,0.26,267,59,-1.6
blocked,25,69,0.0,0.26,280,52,-1.54
blocked,25,70,0.0,0.26,267,58,-1.63
blocked,25,71,0.0,0.26,401,61,-1.65
blocked,25,72,0.0,0.26,346,67,-1.62
blocked,25,73,0.0,0.26,309,58,-1.56
blocked,25,74,0.0,0.26,309,66,-1.68
blocked,25,75,0.0,0.26,242,66,-1.53
blocked,25,76,0.0,0.26,313,83,-1.67
blocked,25,77,0.0,0.26,320,65,-1.6
blocked,25,78,0.0,0.26,295,68,-1.54
blocked,25,79,0.0,0.26,366,67,-1.57
blocked,25,80,0.0,0.26,334,58,-1.63
blocked,25,81,0.0,0.26,310,58,-1.58
blocked,25,82,0.0,0.26,300,61,-1.53
blocked,25,83,0.0,0.26,308,75,-1.52
blocked,25,84,0.0,0.26,317,74,-1.6
blocked,25,85,0.0,0.26,250,59,-1.59
blocked,25,86,0.0,0.26,295,58,-1.58
blocked,25,87,0.0,0.26,388,67,-1.6
blocked,25,88,0.0,0.26,326,58,-1.65
blocked,25,89,0.0,0.26,290,59,-1.61
blocked,25,90,0.0,0.26,317,67,-1.63
blocked,25,91,0.0,0.26,303,60,-1.6
blocked,25,92,0.0,0.26,326,66,-1.58
blocked,25,93,0.0,0.26,305,67,-1.59
blocked,25,94,0.0,0.26,274,60,-1.54
blocked,25,95,0.0,0.26,300,67,-1.58
blocked,25,96,0.0,0.26,276,66,-1.54
blocked,25,97,0.0,0.26,280,59,-1.59
blocked,25,98,0.0,0.26,293,65,-1.59
blocked,25,99,0.0,0.26,289,67,-1.69
blocked,25,100,0.0,0.26,318,76,-1.63
blocked,25,101,0.0,0.26,291,75,-1.53
blocked,25,102,0.0,0.26,417,75,-1.66
blocked,25,103,0.0,0.26,300,75,-1.53
blocked,25,104,0.0,0.26,299,67,-1.57
blocked,25,105,0.0,0.26,292,58,-1.56
blocked,25,106,0.0,0.26,308,61,-1.64
blocked,25,107,0.0,0.26,347,78,-1.52
blocked,25,108,0.0,0.26,307,76,-1.65
blocked,25,109,0.0,0.26,274,67,-1.58
blocked,25,110,0.0,0.26,333,59,-1.57
blocked,25,111,0.0,0.26,325,67,-1.57
blocked,25,112,0.0,0.26,310,84,-1.59
blocked,25,113,0.0,0.26,280,75,-1.53
blocked,25,114,0.0,0.26,284,74,-1.57
blocked,25,115,0.0,0.26,283,72,-1.56
blocked,25,116,0.0,0.26,343,65,-1.61
blocked,25,117,0.0,0.26,296,74,-1.57
blocked,25,118,0.0,0.26,303,56,-1.56
blocked,25,119,0.0,0.26,384,50,-1.61
blocked,25,120,0.0,0.26,314,67,-1.6
blocked,25,121,0.0,0.26,292,66,-1.58
blocked,25,122,0.0,0.26,83,100,-1.69
blocked,25,123,0.0,0.26,353,81,-1.59
blocked,25,124,0.0,0.26,317,83,-1.57
blocked,25,125,0.0,0.26,346,71,-1.54
blocked,25,126,0.0,0.26,317,73,-1.56
blocked,25,127,0.0,0.26,367,92,-1.61
blocked,25,128,0.0,0.26,290,68,-1.5
blocked,25,129,0.0,0.26,267,75,-1.57
blocked,25,130,0.0,0.0,313,61,-1.35
blocked,25,131,0.0,0.0,334,74,-1.34
blocked,25,132,0.0,0.0,318,66,-1.32
blocked,25,133,0.0,0.0,308,75,-1.33
blocked,25,134,0.0,0.0,308,80,-1.4
blocked,25,135,0.0,0.0,325,67,-1.36
blocked,25,136,0.0,0.0,324,67,-1.39
blocked,25,137,0.0,0.0,314,66,-1.35
blocked,25,138,0.0,0.0,325,70,-1.44
blocked,25,139,0.0,0.0,323,69,-1.35
blocked,25,140,0.0,0.0,284,74,-1.48
blocked,25,141,0.0,0.0,318,66,-1.47
blocked,25,142,0.0,0.0,297,74,-1.45
blocked,25,143,0.0,0.0,308,66,-1.43
blocked,25,144,0.0,0.0,309,67,-1.49
blocked,25,145,0.0,0.0,325,75,-1.45
blocked,25,146,0.0,0.0,333,91,-1.46
blocked,25,147,0.0,0.0,292,83,-1.49
blocked,25,148,0.0,0.0,283,75,-1.44
blocked,25,149,0.0,0.0,276,64,-1.46
blocked,25,150,0.0,0.0,316,76,-1.44
blocked,25,151,0.0,0.0,391,66,-1.43
blocked,25,152,0.0,0.0,350,67,-1.48
blocked,25,153,0.0,0.0,276,50,-1.51
blocked,25,154,0.0,0.0,300,50,-1.48
blocked,25,155,0.0,0.0,334,66,-1.4
blocked,25,156,0.0,0.0,316,67,-1.44
blocked,25,157,0.0,0.0,316,51,-1.42
blocked,25,158,0.0,0.0,287,73,-1.48
blocked,25,159,0.0,0.0,294,67,-1.44
blocked,25,160,0.0,0.0,286,59,-1.51
blocked,25,161,0.0,0.0,299,75,-1.52
blocked,25,162,0.0,0.0,316,82,-1.47
blocked,25,163,0.0,0.0,309,75,-1.51
blocked,25,164,0.0,0.0,358,70,-1.48
blocked,25,165,0.0,0.0,334,74,-1.46
blocked,25,166,0.0,0.0,298,75,-1.45
blocked,25,167,0.0,0.0,259,58,-1.41
blocked,25,168,0.0,0.0,253,66,-1.45
blocked,25,169,0.0,0.0,227,55,-1.45
blocked,25,170,0.0,0.0,276,49,-1.52
blocked,25,171,0.0,0.0,250,75,-1.5
blocked,25,172,0.0,0.0,273,83,-1.51
blocked,25,173,0.0,0.0,323,74,-1.48
blocked,25,174,0.0,0.0,364,91,-1.5
blocked,25,175,0.0,0.0,300,60,-1.48
blocked,25,176,0.0,0.0,327,64,-1.47
blocked,25,177,0.0,0.0,325,66,-1.49
blocked,25,178,0.0,0.0,542,75,-1.48
blocked,25,179,0.0,0.0,312,70,-1.49
blocked,25,180,0.0,0.0,266,67,-1.55
blocked,25,181,0.0,0.0,292,75,-1.48
blocked,25,182,0.0,0.0,292,75,-1.55
blocked,25,183,0.0,0.0,300,75,-1.53
blocked,25,184,0.0,0.0,299,70,-1.54
blocked,25,185,0.0,0.0,310,57,-1.53
blocked,25,186,0.0,0.0,325,75,-1.61
blocked,25,187,0.0,0.0,317,58,-1.49
blocked,25,188,0.0,0.0,334,66,-1.53
blocked,25,189,0.0,0.0,274,68,-1.59
blocked,25,190,0.0,0.0,292,66,-1.57
blocked,25,191,0.0,0.0,308,74,-1.5
blocked,25,192,0.0,0.0,316,76,-1.6
blocked,25,193,0.0,0.0,308,65,-1.63
blocked,25,194,0.0,0.0,274,67,-1.56
blocked,25,195,0.0,0.0,289,67,-1.57
blocked,25,196,0.0,0.0,267,68,-1.69
blocked,25,197,0.0,0.0,284,66,-1.57
blocked,25,198,0.0,0.0,417,75,-1.52
blocked,25,199,0.0,0.0,260,67,-1.54
blocked,25,200,0.0,0.0,351,66,-1.55
blocked,25,201,0.0,0.0,283,67,-1.53
blocked,25,202,0.0,0.0,75,83,-1.51
blocked,25,203,0.0,0.0,125,75,-1.62
blocked,25,204,0.0,0.0,342,70,-1.61
blocked,25,205,0.0,0.0,309,75,-1.48
blocked,25,206,0.0,0.0,291,66,-1.54
blocked,25,207,0.0,0.0,317,83,-1.55
blocked,25,208,0.0,0.0,306,84,-1.59
blocked,25,209,0.0,0.0,350,75,-1.57
blocked,25,210,0.0,0.0,296,74,-1.51
blocked,25,211,0.0,0.0,311,72,-1.58
blocked,25,212,0.0,0.0,324,67,-1.53
blocked,25,213,0.0,0.0,316,67,-1.58
blocked,25,214,0.0,0.0,325,73,-1.61
blocked,25,215,26.78,0.0,317,67,-1.53
blocked,25,216,26.78,0.0,266,75,-1.56
blocked,25,217,26.78,0.0,325,66,-1.53
blocked,25,218,26.78,0.0,314,83,-1.58
blocked,25,219,26.78,0.0,426,75,-1.49
blocked,25,220,26.78,0.0,323,66,-1.56
blocked,25,221,26.78,0.0,308,75,-1.58
blocked,25,222,26.78,0.0,307,75,-1.49
blocked,25,223,26.78,0.0,300,83,-1.51
blocked,25,224,26.78,0.0,317,75,-1.51
blocked,25,225,26.78,0.0,288,74,-1.47
blocked,25,226,26.78,0.0,234,59,-1.5
blocked,25,227,26.78,0.0,314,67,-1.47
blocked,25,228,26.78,0.0,317,67,-1.69
blocked,25,229,26.78,0.0,334,82,-1.47
blocked,25,230,26.78,0.26,350,84,-1.79
blocked,25,231,26.78,0.26,316,76,-1.74
blocked,25,232,26.78,0.26,324,75,-1.75
blocked,25,233,26.78,0.26,312,81,-1.72
blocked,25,234,26.78,0.26,291,76,-1.67
blocked,25,235,26.78,0.26,351,82,-1.73
blocked,25,236,26.78,0.26,300,75,-1.74
blocked,25,237,26.78,0.26,328,77,-1.71
blocked,25,238,26.78,0.26,313,75,-1.73
blocked,25,239,26.78,0.26,342,76,-1.69
blocked,25,240,26.78,0.26,270,75,-1.69
blocked,25,241,26.78,0.26,301,68,-1.67
blocked,25,242,26.78,0.26,308,67,-1.65
blocked,25,243,26.78,0.26,276,83,-1.73
blocked,25,244,26.78,0.26,374,75,-1.68
blocked,25,245,26.78,0.26,304,67,-1.7
blocked,25,246,26.78,0.26,342,67,-1.67
blocked,25,247,26.78,0.26,329,74,-1.62
blocked,25,248,26.78,0.26,322,70,-1.64
blocked,25,249,26.78,0.26,300,83,-1.63
blocked,25,250,26.78,0.26,308,63,-1.7
blocked,25,251,26.78,0.26,293,73,-1.62
blocked,25,252,26.78,0.26,289,77,-1.69
blocked,25,253,26.78,0.26,308,67,-1.66
blocked,25,254,26.78,0.26,358,67,-1.71
blocked,25,255,26.78,0.26,309,66,-1.63
blocked,25,256,26.78,0.26,319,76,-1.6
blocked,25,257,26.78,0.26,318,74,-1.68
blocked,25,258,26.78,0.26,325,66,-1.69
blocked,25,259,26.78,0.26,300,75,-1.56
blocked,25,260,26.78,0.26,317,67,-1.61
blocked,25,261,26.78,0.26,359,75,-1.63
blocked,25,262,26.78,0.26,316,76,-1.57
blocked,25,263,26.78,0.26,316,76,-1.67
blocked,25,264,26.78,0.26,341,76,-1.61
blocked,25,265,26.78,0.26,258,84,-1.62
blocked,25,266,26.78,0.26,325,83,-1.66
blocked,25,267,26.78,0.26,442,74,-1.64
blocked,25,268,26.78,0.26,375,84,-1.67
blocked,25,269,26.78,0.26,309,83,-1.68
blocked,25,270,26.78,0.26,299,83,-1.65
blocked,25,271,26.78,0.26,296,66,-1.66
blocked,25,272,26.78,0.26,300,75,-1.63
blocked,25,273,26.78,0.26,307,83,-1.71
blocked,25,274,26.78,0.26,328,74,-1.7
blocked,25,275,26.78,0.26,324,67,-1.64
blocked,25,276,26.78,0.26,315,60,-1.73
blocked,25,277,26.78,0.26,304,79,-1.65
blocked,25,278,26.78,0.26,300,58,-1.57
blocked,25,279,26.78,0.26,300,74,-1.65
blocked,25,280,26.78,0.26,300,75,-1.66
blocked,25,281,26.78,0.26,300,83,-1.66
blocked,25,282,26.78,0.26,324,75,-1.64
blocked,25,283,26.78,0.26,308,76,-1.73
blocked,25,284,26.78,0.26,266,58,-1.77
blocked,25,285,26.78,0.26,279,65,-1.65
blocked,25,286,26.78,0.26,267,58,-1.64
blocked,25,287,26.78,0.26,257,59,-1.67
blocked,25,288,26.78,0.26,282,51,-1.73
blocked,25,289,26.78,0.26,446,74,-1.64
blocked,25,290,26.78,0.26,416,67,-1.68
blocked,25,291,26.78,0.26,408,66,-1.6
blocked,25,292,26.78,0.26,348,67,-1.6
blocked,25,293,26.78,0.26,333,74,-1.59
blocked,25,294,26.78,0.26,288,72,-1.55
blocked,25,295,26.78,0.26,303,74,-1.72
blocked,25,296,26.78,0.26,262,64,-1.58
blocked,25,297,26.78,0.26,322,62,-1.59
blocked,25,298,26.78,0.26,291,65,-1.62
blocked,25,299,26.78,0.26,324,67,-1.57
blocked,25,300,26.78,0.26,351,65,-1.66
blocked,25,301,26.78,0.26,333,67,-1.6
blocked,25,302,26.78,0.26,307,76,-1.55
blocked,25,303,26.78,0.26,275,65,-1.62
blocked,25,304,26.78,0.26,325,67,-1.56
blocked,25,305,26.78,0.26,350,75,-1.61
blocked,25,306,26.78,0.26,325,84,-1.61
blocked,25,307,26.78,0.26,432,68,-1.67
blocked,25,308,26.78,0.26,334,75,-1.6
blocked,25,309,26.78,0.26,274,75,-1.62
blocked,25,310,26.78,0.26,333,66,-1.62
blocked,25,311,26.78,0.26,281,72,-1.62
blocked,25,312,26.78,0.26,325,77,-1.61
blocked,25,313,26.78,0.26,291,76,-1.62
blocked,25,314,26.78,0.26,350,70,-1.64
blocked,25,315,26.78,0.26,298,74,-1.6
blocked,25,316,26.78,0.26,323,67,-1.71
blocked,25,317,26.78,0.26,326,65,-1.63
blocked,25,318,26.78,0.26,342,67,-1.61
blocked,25,319,26.78,0.26,334,67,-1.66
blocked,25,320,26.78,0.26,342,86,-1.7
blocked,25,321,26.78,0.26,311,72,-1.58
blocked,25,322,26.78,0.26,343,66,-1.63
blocked,25,323,26.78,0.26,366,67,-1.65
blocked,25,324,26.78,0.26,383,59,-1.65
blocked,25,325,26.78,0.26,316,67,-1.62
blocked,25,326,26.78,0.26,275,58,-1.53
blocked,25,327,26.78,0.26,291,75,-1.57
blocked,25,328,26.78,0.26,394,64,-1.68
blocked,25,329,26.78,0.26,650,67,-1.64
blocked,25,330,26.78,0.0,287,54,-1.38
blocked,25,331,26.78,0.0,458,50,-1.41
blocked,25,332,26.78,0.0,309,57,-1.4
blocked,25,333,26.78,0.0,309,75,-1.38
blocked,25,334,26.78,0.0,300,66,-1.33
blocked,25,335,26.78,0.0,325,73,-1.41
blocked,25,336,26.78,0.0,300,58,-1.4
blocked,25,337,26.78,0.0,283,83,-1.43
blocked,25,338,26.78,0.0,293,58,-1.49
blocked,25,339,26.78,0.0,307,50,-1.51
blocked,25,340,26.78,0.0,305,68,-1.53
blocked,25,341,26.78,0.0,310,56,-1.42
blocked,25,342,26.78,0.0,317,49,-1.45
blocked,25,343,26.78,0.0,315,59,-1.47
blocked,25,344,26.78,0.0,307,67,-1.46
blocked,25,345,26.78,0.0,314,58,-1.4
blocked,25,346,26.78,0.0,326,58,-1.46
blocked,25,347,26.78,0.0,275,53,-1.41
blocked,25,348,26.78,0.0,317,66,-1.48
blocked,25,349,26.78,0.0,294,65,-1.45
blocked,25,350,26.78,0.0,329,58,-1.43
blocked,25,351,26.78,0.0,192,67,-1.42
blocked,25,352,26.78,0.0,325,65,-1.42
blocked,25,353,26.78,0.0,323,59,-1.45
blocked,25,354,26.78,0.0,267,58,-1.44
blocked,25,355,26.78,0.0,309,60,-1.45
blocked,25,356,26.78,0.0,300,64,-1.43
blocked,25,357,26.78,0.0,317,66,-1.48
blocked,25,358,26.78,0.0,333,59,-1.49
blocked,25,359,26.78,0.0,317,58,-1.48
blocked,25,360,26.78,0.0,330,60,-1.48
blocked,25,361,26.78,0.0,277,73,-1.57
blocked,25,362,26.78,0.0,316,67,-1.54
blocked,25,363,26.78,0.0,367,66,-1.54
blocked,25,364,26.78,0.0,292,58,-1.56
blocked,25,365,26.78,0.0,341,67,-1.53
blocked,25,366,26.78,0.0,284,65,-1.57
blocked,25,367,26.78,0.0,333,66,-1.56
blocked,25,368,26.78,0.0,274,67,-1.54
blocked,25,369,26.78,0.0,316,75,-1.55
blocked,25,370,26.78,0.0,367,75,-1.61
blocked,25,371,26.78,0.0,417,58,-1.58
blocked,25,372,26.78,0.0,320,67,-1.59
blocked,25,373,26.78,0.0,333,74,-1.53
blocked,25,374,26.78,0.0,283,65,-1.49
blocked,25,375,26.78,0.0,304,67,-1.51
blocked,25,376,26.78,0.0,333,50,-1.55
blocked,25,377,26.78,0.0,359,66,-1.58
blocked,25,378,26.78,0.0,304,67,-1.6
blocked,25,379,26.78,0.0,350,75,-1.6
blocked,25,380,26.78,0.0,310,56,-1.63
blocked,25,381,26.78,0.0,305,67,-1.51
blocked,25,382,26.78,0.0,292,59,-1.55
blocked,25,383,26.78,0.0,283,58,-1.68
blocked,25,384,26.78,0.0,284,59,-1.58
blocked,25,385,26.78,0.0,317,60,-1.6
blocked,25,386,26.78,0.0,351,49,-1.59
blocked,25,387,26.78,0.0,287,58,-1.54
blocked,25,388,26.78,0.0,307,51,-1.57
blocked,25,389,26.78,0.0,323,66,-1.57
blocked,25,390,26.78,0.0,321,66,-1.67
blocked,25,391,26.78,0.0,258,69,-1.5
blocked,25,392,26.78,0.0,292,59,-1.66
blocked,25,393,26.78,0.0,311,58,-1.54
blocked,25,394,26.78,0.0,291,67,-1.56
blocked,25,395,26.78,0.0,433,76,-1.54
blocked,25,396,26.78,0.0,295,58,-1.6
blocked,25,397,26.78,0.0,293,53,-1.46
blocked,25,398,26.78,0.0,330,58,-1.49
blocked,25,399,26.78,0.0,284,67,-1.5
blocked,25,400,26.78,0.0,275,61,-1.49
blocked,25,401,26.78,0.0,309,58,-1.57
blocked,25,402,26.78,0.0,368,58,-1.49
blocked,25,403,26.78,0.0,350,67,-1.49
blocked,25,404,26.78,0.0,293,66,-1.56
blocked,25,405,26.78,0.0,300,67,-1.52
blocked,25,406,26.78,0.0,259,66,-1.55
blocked,25,407,26.78,0.0,265,77,-1.46
blocked,25,408,26.78,0.0,317,61,-1.51
blocked,25,409,26.78,0.0,312,61,-1.55
blocked,25,410,26.78,0.0,266,71,-1.66
blocked,25,411,26.78,0.0,284,68,-1.53
blocked,25,412,26.78,0.0,298,74,-1.6
blocked,25,413,26.78,0.0,292,67,-1.54
blocked,25,414,26.78,0.0,307,71,-1.5
blocked,25,415,26.78,0.0,291,59,-1.59
blocked,25,416,26.78,0.0,392,55,-1.55
blocked,25,417,26.78,0.0,292,66,-1.51
blocked,25,418,26.78,0.0,343,77,-1.55
blocked,25,419,26.78,0.0,325,67,-1.59
blocked,25,420,26.78,0.0,325,59,-1.62
blocked,25,421,26.78,0.0,350,59,-1.57
blocked,25,422,26.78,0.0,342,66,-1.52
blocked,25,423,26.78,0.0,292,58,-1.58
blocked,25,424,26.78,0.0,308,67,-1.56
blocked,25,425,26.78,0.0,276,66,-1.52
blocked,25,426,26.78,0.0,359,74,-1.55
blocked,25,427,26.78,0.0,325,67,-1.49
blocked,25,428,26.78,0.0,309,66,-1.61
blocked,25,429,26.78,0.0,318,69,-1.47
