condition,subject,trial,su,rotation,rt,mt,ep
blocked,21,1,26.78,0.0,1154,820,-1.78
blocked,21,2,0.0,0.0,328,149,-1.45
blocked,21,3,26.78,0.0,425,214,-1.55
blocked,21,4,0.0,0.0,291,136,-1.54
blocked,21,5,26.78,0.0,353,149,-1.57
blocked,21,6,0.0,0.0,319,101,-1.45
blocked,21,7,26.78,0.0,370,132,-1.64
blocked,21,8,0.0,0.0,445,128,-1.73
blocked,21,9,0.0,0.0,301,100,-1.53
blocked,21,10,0.0,0.0,314,116,-1.59
blocked,21,11,26.78,0.0,304,127,-1.58
blocked,21,12,0.0,0.0,479,103,-1.64
blocked,21,13,26.78,0.0,280,100,-1.52
blocked,21,14,0.0,0.0,390,88,-1.5
blocked,21,15,26.78,0.0,363,93,-1.55
blocked,21,16,0.0,0.0,327,72,-1.59
blocked,21,17,0.0,0.0,372,109,-1.56
blocked,21,18,26.78,0.0,332,91,-1.58
blocked,21,19,0.0,0.0,318,109,-1.61
blocked,21,20,26.78,0.0,294,92,-1.52
blocked,21,21,0.0,0.0,268,91,-1.62
blocked,21,22,26.78,0.0,278,98,-1.56
blocked,21,23,26.78,0.0,267,100,-1.59
blocked,21,24,0.0,0.0,291,74,-1.61
blocked,21,25,26.78,0.0,73,87,-1.58
blocked,21,26,0.0,0.0,272,92,-1.52
blocked,21,27,26.78,0.0,249,110,-1.6
blocked,21,28,26.78,0.0,325,100,-1.6
blocked,21,29,26.78,0.0,309,99,-1.52
blocked,21,30,0.0,0.26,300,84,-1.79
blocked,21,31,0.0,0.26,284,84,-1.73
blocked,21,32,0.0,0.26,316,85,-1.64
blocked,21,33,0.0,0.26,317,108,-1.72
blocked,21,34,0.0,0.26,264,95,-1.65
blocked,21,35,0.0,0.26,266,92,-1.6
blocked,21,36,0.0,0.26,285,107,-1.67
blocked,21,37,0.0,0.26,268,124,-1.63
blocked,21,38,0.0,0.26,340,109,-1.55
blocked,21,39,0.0,0.26,274,126,-1.64
blocked,21,40,0.0,0.26,275,125,-1.62
blocked,21,41,0.0,0.26,283,126,-1.58
blocked,21,42,0.0,0.26,259,475,-1.55
blocked,21,43,0.0,0.26,264,125,-1.6
blocked,21,44,0.0,0.26,332,134,-1.58
blocked,21,45,0.0,0.26,338,142,-1.7
blocked,21,46,0.0,0.26,275,125,-1.5
blocked,21,47,0.0,0.26,267,133,-1.72
blocked,21,48,0.0,0.26,334,150,-1.64
blocked,21,49,0.0,0.26,301,158,-1.68
blocked,21,50,0.0,0.26,258,458,-1.6
blocked,21,51,0.0,0.26,433,92,-1.58
blocked,21,52,0.0,0.26,325,67,-1.55
blocked,21,53,0.0,0.26,416,71,-1.63
blocked,21,54,0.0,0.26,317,92,-1.57
blocked,21,55,0.0,0.26,292,83,-1.62
blocked,21,56,0.0,0.26,290,101,-1.59
blocked,21,57,0.0,0.26,308,99,-1.64
blocked,21,58,0.0,0.26,375,158,-1.72
blocked,21,59,0.0,0.26,317,100,-1.73
blocked,21,60,0.0,0.26,279,92,-1.61
blocked,21,61,0.0,0.26,308,109,-1.57
blocked,21,62,0.0,0.26,333,111,-1.62
blocked,21,63,0.0,0.26,311,116,-1.63
blocked,21,64,0.0,0.26,283,109,-1.58
blocked,21,65,0.0,0.26,293,91,-1.51
blocked,21,66,0.0,0.26,316,92,-1.58
blocked,21,67,0.0,0.26,241,109,-1.6
blocked,21,68,0.0,0.26,258,125,-1.6
blocked,21,69,0.0,0.26,316,117,-1.61
blocked,21,70,0.0,0.26,326,109,-1.61
blocked,21,71,0.0,0.26,299,117,-1.69
blocked,21,72,0.0,0.26,325,84,-1.69
blocked,21,73,0.0,0.26,292,100,-1.61
blocked,21,74,0.0,0.26,300,92,-1.55
blocked,21,75,0.0,0.26,340,89,-1.65
blocked,21,76,0.0,0.26,342,82,-1.67
blocked,21,77,0.0,0.26,329,71,-1.59
blocked,21,78,0.0,0.26,375,92,-1.58
blocked,21,79,0.0,0.26,324,72,-1.57
blocked,21,80,0.0,0.26,308,75,-1.49
blocked,21,81,0.0,0.26,291,121,-1.64
blocked,21,82,0.0,0.26,324,76,-1.63
blocked,21,83,0.0,0.26,334,106,-1.67
blocked,21,84,0.0,0.26,357,87,-1.64
blocked,21,85,0.0,0.26,333,92,-1.57
blocked,21,86,0.0,0.26,499,100,-1.57
blocked,21,87,0.0,0.26,318,83,-1.65
blocked,21,88,0.0,0.26,325,67,-1.59
blocked,21,89,0.0,0.26,314,84,-1.67
blocked,21,90,0.0,0.26,307,100,-1.56
blocked,21,91,0.0,0.26,283,91,-1.56
blocked,21,92,0.0,0.26,279,79,-1.69
blocked,21,93,0.0,0.26,316,74,-1.59
blocked,21,94,0.0,0.26,323,76,-1.6
blocked,21,95,0.0,0.26,283,84,-1.62
blocked,21,96,0.0,0.26,326,58,-1.55
blocked,21,97,0.0,0.26,342,58,-1.59
blocked,21,98,0.0,0.26,332,75,-1.57
blocked,21,99,0.0,0.26,313,74,-1.56
blocked,21,100,0.0,0.26,323,83,-1.62
blocked,21,101,0.0,0.26,343,75,-1.58
blocked,21,102,0.0,0.26,442,66,-1.6
blocked,21,103,0.0,0.26,291,75,-1.63
blocked,21,104,0.0,0.26,325,59,-1.53
blocked,21,105,0.0,0.26,349,87,-1.73
blocked,21,106,0.0,0.26,308,67,-1.54
blocked,21,107,0.0,0.26,367,56,-1.54
blocked,21,108,0.0,0.26,309,74,-1.61
blocked,21,109,0.0,0.26,322,59,-1.56
blocked,21,110,0.0,0.26,359,83,-1.59
blocked,21,111,0.0,0.26,283,67,-1.55
blocked,21,112,0.0,0.26,259,65,-1.54
blocked,21,113,0.0,0.26,317,58,-1.53
blocked,21,114,0.0,0.26,290,100,-1.66
blocked,21,115,0.0,0.26,217,75,-1.6
blocked,21,116,0.0,0.26,265,75,-1.62
blocked,21,117,0.0,0.26,300,67,-1.52
blocked,21,118,0.0,0.26,291,59,-1.66
blocked,21,119,0.0,0.26,300,66,-1.66
blocked,21,120,0.0,0.26,263,74,-1.57
blocked,21,121,0.0,0.26,301,58,-1.51
blocked,21,122,0.0,0.26,302,67,-1.64
blocked,21,123,0.0,0.26,257,58,-1.64
blocked,21,124,0.0,0.26,273,65,-1.55
blocked,21,125,0.0,0.26,282,75,-1.6
blocked,21,126,0.0,0.26,308,66,-1.57
blocked,21,127,0.0,0.26,311,71,-1.62
blocked,21,128,0.0,0.26,335,58,-1.57
blocked,21,129,0.0,0.26,352,91,-1.63
blocked,21,130,0.0,0.0,277,73,-1.4
blocked,21,131,0.0,0.0,265,76,-1.36
blocked,21,132,0.0,0.0,259,92,-1.4
blocked,21,133,0.0,0.0,249,84,-1.46
blocked,21,134,0.0,0.0,358,75,-1.43
blocked,21,135,0.0,0.0,308,92,-1.41
blocked,21,136,0.0,0.0,324,92,-1.47
blocked,21,137,0.0,0.0,300,92,-1.52
blocked,21,138,0.0,0.0,292,75,-1.51
blocked,21,139,0.0,0.0,359,67,-1.46
blocked,21,140,0.0,0.0,427,95,-1.45
blocked,21,141,0.0,0.0,325,85,-1.58
blocked,21,142,0.0,0.0,416,83,-1.56
blocked,21,143,0.0,0.0,90,84,-1.58
blocked,21,144,0.0,0.0,316,75,-1.52
blocked,21,145,0.0,0.0,361,73,-1.53
blocked,21,146,0.0,0.0,299,75,-1.43
blocked,21,147,0.0,0.0,284,83,-1.47
blocked,21,148,0.0,0.0,334,83,-1.58
blocked,21,149,0.0,0.0,342,74,-1.48
blocked,21,150,0.0,0.0,343,149,-1.49
blocked,21,151,0.0,0.0,300,83,-1.54
blocked,21,152,0.0,0.0,300,92,-1.64
blocked,21,153,0.0,0.0,341,121,-1.46
blocked,21,154,0.0,0.0,358,69,-1.46
blocked,21,155,0.0,0.0,317,83,-1.47
blocked,21,156,0.0,0.0,283,84,-1.52
blocked,21,157,0.0,0.0,342,84,-1.5
blocked,21,158,0.0,0.0,342,83,-1.5
blocked,21,159,0.0,0.0,284,73,-1.59
blocked,21,160,0.0,0.0,319,65,-1.56
blocked,21,161,0.0,0.0,332,67,-1.46
blocked,21,162,0.0,0.0,342,73,-1.46
blocked,21,163,0.0,0.0,293,69,-1.48
blocked,21,164,0.0,0.0,283,75,-1.53
blocked,21,165,0.0,0.0,292,75,-1.49
blocked,21,166,0.0,0.0,300,75,-1.48
blocked,21,167,0.0,0.0,293,68,-1.6
blocked,21,168,0.0,0.0,307,101,-1.55
blocked,21,169,0.0,0.0,332,68,-1.53
blocked,21,170,0.0,0.0,317,74,-1.56
blocked,21,171,0.0,0.0,367,75,-1.6
blocked,21,172,0.0,0.0,284,91,-1.64
blocked,21,173,0.0,0.0,328,87,-1.6
blocked,21,174,0.0,0.0,324,75,-1.53
blocked,21,175,0.0,0.0,391,84,-1.52
blocked,21,176,0.0,0.0,359,83,-1.49
blocked,21,177,0.0,0.0,309,83,-1.6
blocked,21,178,0.0,0.0,273,100,-1.62
blocked,21,179,0.0,0.0,343,90,-1.65
blocked,21,180,0.0,0.0,401,101,-1.61
blocked,21,181,0.0,0.0,299,84,-1.54
blocked,21,182,0.0,0.0,299,92,-1.58
blocked,21,183,0.0,0.0,350,75,-1.56
blocked,21,184,0.0,0.0,350,91,-1.58
blocked,21,185,0.0,0.0,242,83,-1.55
blocked,21,186,0.0,0.0,296,84,-1.48
blocked,21,187,0.0,0.0,326,74,-1.5
blocked,21,188,0.0,0.0,325,67,-1.53
blocked,21,189,0.0,0.0,284,83,-1.56
blocked,21,190,0.0,0.0,307,93,-1.51
blocked,21,191,0.0,0.0,359,85,-1.59
blocked,21,192,0.0,0.0,343,66,-1.59
blocked,21,193,0.0,0.0,309,68,-1.55
blocked,21,194,0.0,0.0,293,67,-1.5
blocked,21,195,0.0,0.0,356,96,-1.65
blocked,21,196,0.0,0.0,217,100,-1.53
blocked,21,197,0.0,0.0,125,100,-1.58
blocked,21,198,0.0,0.0,355,75,-1.52
blocked,21,199,0.0,0.0,433,67,-1.6
blocked,21,200,0.0,0.0,299,82,-1.53
blocked,21,201,0.0,0.0,399,92,-1.58
blocked,21,202,0.0,0.0,324,84,-1.54
blocked,21,203,0.0,0.0,359,83,-1.58
blocked,21,204,0.0,0.0,333,69,-1.5
blocked,21,205,0.0,0.0,333,67,-1.54
blocked,21,206,0.0,0.0,309,74,-1.6
blocked,21,207,0.0,0.0,351,79,-1.6
blocked,21,208,0.0,0.0,308,75,-1.53
blocked,21,209,0.0,0.0,350,84,-1.64
blocked,21,210,0.0,0.0,444,77,-1.57
blocked,21,211,0.0,0.0,609,77,-1.5
blocked,21,212,0.0,0.0,317,77,-1.61
blocked,21,213,0.0,0.0,289,67,-1.52
blocked,21,214,0.0,0.0,325,84,-1.58
blocked,21,215,26.78,0.0,302,73,-1.53
blocked,21,216,26.78,0.0,306,65,-1.45
blocked,21,217,26.78,0.0,329,83,-1.54
blocked,21,218,26.78,0.0,285,74,-1.57
blocked,21,219,26.78,0.0,292,77,-1.61
blocked,21,220,26.78,0.0,391,79,-1.6
blocked,21,221,26.78,0.0,333,83,-1.59
blocked,21,222,26.78,0.0,325,67,-1.68
blocked,21,223,26.78,0.0,450,66,-1.58
blocked,21,224,26.78,0.0,317,83,-1.56
blocked,21,225,26.78,0.0,332,84,-1.63
blocked,21,226,26.78,0.0,291,76,-1.6
blocked,21,227,26.78,0.0,340,74,-1.51
blocked,21,228,26.78,0.0,294,73,-1.58
blocked,21,229,26.78,0.0,300,74,-1.56
blocked,21,230,26.78,0.26,274,67,-1.8
blocked,21,231,26.78,0.26,416,67,-1.84
blocked,21,232,26.78,0.26,308,84,-1.74
blocked,21,233,26.78,0.26,326,73,-1.73
blocked,21,234,26.78,0.26,308,83,-1.7
blocked,21,235,26.78,0.26,307,92,-1.72
blocked,21,236,26.78,0.26,308,83,-1.63
blocked,21,237,26.78,0.26,276,83,-1.74
blocked,21,238,26.78,0.26,337,79,-1.65
blocked,21,239,26.78,0.26,351,74,-1.71
blocked,21,240,26.78,0.26,375,83,-1.7
blocked,21,241,26.78,0.26,283,100,-1.58
