condition,subject,trial,su,rotation,rt,mt,ep
interleaved,8,1,26.78,0.0,484,249,-1.41
interleaved,8,2,0.0,0.0,417,142,-1.57
interleaved,8,3,0.0,0.0,425,67,-1.63
interleaved,8,4,0.0,0.0,450,67,-1.4
interleaved,8,5,0.0,0.0,425,83,-1.56
interleaved,8,6,26.78,0.0,424,76,-1.56
interleaved,8,7,0.0,0.0,441,75,-1.63
interleaved,8,8,0.0,0.0,450,100,-1.56
interleaved,8,9,0.0,0.0,479,56,-1.72
interleaved,8,10,26.78,0.0,408,76,-1.5
interleaved,8,11,26.78,0.0,442,83,-1.54
interleaved,8,12,0.0,0.0,450,100,-1.75
interleaved,8,13,26.78,0.0,483,92,-1.57
interleaved,8,14,26.78,0.0,609,84,-1.49
interleaved,8,15,0.0,0.0,526,74,-1.5
interleaved,8,16,0.0,0.0,534,90,-1.69
interleaved,8,17,26.78,0.0,499,100,-1.6
interleaved,8,18,26.78,0.0,458,58,-1.6
interleaved,8,19,0.0,0.0,457,85,-1.57
interleaved,8,20,0.0,0.0,458,67,-1.63
interleaved,8,21,0.0,0.0,441,59,-1.65
interleaved,8,22,26.78,0.0,542,66,-1.51
interleaved,8,23,26.78,0.0,420,54,-1.5
interleaved,8,24,26.78,0.0,462,64,-1.67
interleaved,8,25,0.0,0.0,450,67,-1.61
interleaved,8,26,26.78,0.0,425,58,-1.59
interleaved,8,27,26.78,0.0,482,50,-1.53
interleaved,8,28,0.0,0.0,433,58,-1.48
interleaved,8,29,26.78,0.0,357,93,-1.73
interleaved,8,30,0.0,0.26,384,75,-1.86
interleaved,8,31,26.78,0.26,491,58,-1.81
interleaved,8,32,26.78,0.26,510,66,-1.84
interleaved,8,33,26.78,0.26,417,58,-1.7
interleaved,8,34,26.78,0.26,408,67,-1.72
interleaved,8,35,26.78,0.26,417,91,-1.77
interleaved,8,36,26.78,0.26,407,58,-1.75
interleaved,8,37,26.78,0.26,492,66,-1.62
interleaved,8,38,26.78,0.26,458,52,-1.55
interleaved,8,39,0.0,0.26,450,58,-1.71
interleaved,8,40,0.0,0.26,467,67,-1.55
interleaved,8,41,0.0,0.26,408,59,-1.95
interleaved,8,42,0.0,0.26,517,58,-1.55
interleaved,8,43,0.0,0.26,466,42,-1.74
interleaved,8,44,26.78,0.26,699,67,-1.5
interleaved,8,45,0.0,0.26,524,84,-1.61
interleaved,8,46,26.78,0.26,432,51,-1.5
interleaved,8,47,26.78,0.26,616,67,-1.69
interleaved,8,48,26.78,0.26,682,61,-1.37
interleaved,8,49,0.0,0.26,608,75,-1.7
interleaved,8,50,26.78,0.26,776,58,-1.37
interleaved,8,51,0.0,0.26,400,83,-1.55
interleaved,8,52,26.78,0.26,500,69,-1.65
interleaved,8,53,0.0,0.26,491,67,-1.62
interleaved,8,54,26.78,0.26,641,76,-1.7
interleaved,8,55,0.0,0.26,500,50,-1.47
interleaved,8,56,26.78,0.26,633,58,-1.7
interleaved,8,57,0.0,0.26,500,58,-1.5
interleaved,8,58,0.0,0.26,500,59,-1.61
interleaved,8,59,26.78,0.26,467,66,-1.63
interleaved,8,60,0.0,0.26,498,83,-1.71
interleaved,8,61,0.0,0.26,567,58,-1.63
interleaved,8,62,0.0,0.26,733,50,-1.44
interleaved,8,63,26.78,0.26,509,58,-1.68
interleaved,8,64,26.78,0.26,500,51,-1.56
interleaved,8,65,26.78,0.26,542,58,-1.77
interleaved,8,66,0.0,0.26,509,58,-1.61
interleaved,8,67,0.0,0.26,474,59,-1.6
interleaved,8,68,0.0,0.26,454,56,-1.61
interleaved,8,69,26.78,0.26,650,59,-1.66
interleaved,8,70,26.78,0.26,425,51,-1.54
interleaved,8,71,26.78,0.26,509,50,-1.66
interleaved,8,72,26.78,0.26,809,50,-1.64
interleaved,8,73,26.78,0.26,333,42,-1.48
interleaved,8,74,0.0,0.26,533,59,-1.73
interleaved,8,75,26.78,0.26,516,76,-1.78
interleaved,8,76,0.0,0.26,459,58,-1.56
interleaved,8,77,26.78,0.26,383,34,-1.56
interleaved,8,78,26.78,0.26,374,50,-1.66
interleaved,8,79,0.0,0.26,316,50,-1.66
interleaved,8,80,26.78,0.26,375,41,-1.58
interleaved,8,81,26.78,0.26,425,41,-1.57
interleaved,8,82,0.0,0.26,418,50,-1.59
interleaved,8,83,26.78,0.26,516,59,-1.75
interleaved,8,84,0.0,0.26,475,50,-1.6
interleaved,8,85,26.78,0.26,417,58,-1.66
interleaved,8,86,0.0,0.26,343,57,-1.75
interleaved,8,87,0.0,0.26,449,50,-1.67
interleaved,8,88,0.0,0.26,496,129,-1.66
interleaved,8,89,26.78,0.26,342,42,-1.63
interleaved,8,90,26.78,0.26,383,42,-1.61
interleaved,8,91,0.0,0.26,467,48,-1.61
interleaved,8,92,0.0,0.26,467,49,-1.71
interleaved,8,93,0.0,0.26,434,49,-1.53
interleaved,8,94,0.0,0.26,458,66,-1.63
interleaved,8,95,26.78,0.26,495,42,-1.5
interleaved,8,96,0.0,0.26,392,59,-1.5
interleaved,8,97,26.78,0.26,416,58,-1.59
interleaved,8,98,0.0,0.26,412,50,-1.72
interleaved,8,99,26.78,0.26,458,58,-1.44
interleaved,8,100,26.78,0.26,475,66,-1.76
interleaved,8,101,26.78,0.26,516,59,-1.69
interleaved,8,102,0.0,0.26,419,64,-1.69
interleaved,8,103,26.78,0.26,467,66,-1.61
interleaved,8,104,0.0,0.26,408,59,-1.66
interleaved,8,105,26.78,0.26,383,50,-1.72
interleaved,8,106,0.0,0.26,375,50,-1.51
interleaved,8,107,0.0,0.26,350,59,-1.55
interleaved,8,108,26.78,0.26,468,58,-1.67
interleaved,8,109,26.78,0.26,467,58,-1.55
interleaved,8,110,0.0,0.26,382,51,-1.57
interleaved,8,111,26.78,0.26,383,42,-1.57
interleaved,8,112,0.0,0.26,508,41,-1.66
interleaved,8,113,0.0,0.26,316,59,-1.55
interleaved,8,114,26.78,0.26,501,49,-1.58
interleaved,8,115,26.78,0.26,300,50,-1.59
interleaved,8,116,0.0,0.26,950,50,-1.69
interleaved,8,117,26.78,0.26,474,50,-1.61
interleaved,8,118,26.78,0.26,399,42,-1.63
interleaved,8,119,26.78,0.26,417,67,-1.61
interleaved,8,120,0.0,0.26,266,50,-1.66
interleaved,8,121,26.78,0.26,317,50,-1.52
interleaved,8,122,0.0,0.26,325,50,-1.33
interleaved,8,123,26.78,0.26,333,50,-1.64
interleaved,8,124,0.0,0.26,333,50,-1.6
interleaved,8,125,0.0,0.26,408,50,-1.68
interleaved,8,126,0.0,0.26,443,58,-1.36
interleaved,8,127,26.78,0.26,575,50,-1.63
interleaved,8,128,0.0,0.26,1228,40,-1.64
interleaved,8,129,26.78,0.26,458,42,-1.57
interleaved,8,130,0.0,0.0,608,50,-1.35
interleaved,8,131,0.0,0.0,367,45,-1.24
interleaved,8,132,0.0,0.0,508,59,-1.47
interleaved,8,133,0.0,0.0,433,50,-1.29
interleaved,8,134,26.78,0.0,425,59,-1.45
interleaved,8,135,0.0,0.0,475,50,-1.4
interleaved,8,136,26.78,0.0,392,58,-1.39
interleaved,8,137,0.0,0.0,466,50,-1.49
interleaved,8,138,0.0,0.0,459,58,-1.59
interleaved,8,139,26.78,0.0,450,66,-1.53
interleaved,8,140,26.78,0.0,501,132,-1.5
interleaved,8,141,26.78,0.0,491,67,-1.5
interleaved,8,142,26.78,0.0,1116,50,-1.45
interleaved,8,143,0.0,0.0,349,58,-1.5
interleaved,8,144,0.0,0.0,468,49,-1.38
interleaved,8,145,26.78,0.0,458,67,-1.46
interleaved,8,146,26.78,0.0,406,75,-1.51
interleaved,8,147,26.78,0.0,409,50,-1.39
interleaved,8,148,0.0,0.0,444,64,-1.48
interleaved,8,149,26.78,0.0,106,57,-1.6
interleaved,8,150,0.0,0.0,433,50,-1.43
interleaved,8,151,0.0,0.0,516,50,-1.46
interleaved,8,152,26.78,0.0,434,42,-1.47
interleaved,8,153,0.0,0.0,418,50,-1.34
interleaved,8,154,0.0,0.0,392,42,-1.54
interleaved,8,155,0.0,0.0,367,75,-1.51
interleaved,8,156,26.78,0.0,1300,50,-1.54
interleaved,8,157,26.78,0.0,416,117,-1.62
interleaved,8,158,0.0,0.0,457,58,-1.56
interleaved,8,159,0.0,0.0,400,58,-1.68
interleaved,8,160,26.78,0.0,492,50,-1.44
interleaved,8,161,26.78,0.0,484,58,-1.47
interleaved,8,162,26.78,0.0,1824,50,-1.46
interleaved,8,163,0.0,0.0,416,59,-1.53
interleaved,8,164,26.78,0.0,567,66,-1.59
interleaved,8,165,26.78,0.0,516,84,-1.54
interleaved,8,166,26.78,0.0,450,75,-1.59
interleaved,8,167,0.0,0.0,1258,50,-1.47
interleaved,8,168,0.0,0.0,483,59,-1.66
interleaved,8,169,0.0,0.0,558,75,-1.56
interleaved,8,170,0.0,0.0,359,59,-1.62
interleaved,8,171,26.78,0.0,392,66,-1.57
interleaved,8,172,26.78,0.0,409,58,-1.63
interleaved,8,173,0.0,0.0,466,50,-1.51
interleaved,8,174,0.0,0.0,409,58,-1.45
interleaved,8,175,26.78,0.0,389,58,-1.62
interleaved,8,176,0.0,0.0,458,59,-1.61
interleaved,8,177,0.0,0.0,358,67,-1.72
interleaved,8,178,0.0,0.0,400,67,-1.66
interleaved,8,179,26.78,0.0,425,59,-1.59
interleaved,8,180,26.78,0.0,867,58,-1.51
interleaved,8,181,26.78,0.0,467,67,-1.55
interleaved,8,182,0.0,0.0,424,50,-1.62
interleaved,8,183,0.0,0.0,389,49,-1.44
interleaved,8,184,26.78,0.0,458,59,-1.66
interleaved,8,185,26.78,0.0,475,58,-1.56
interleaved,8,186,0.0,0.0,358,68,-1.53
interleaved,8,187,0.0,0.0,466,59,-1.61
interleaved,8,188,26.78,0.0,409,58,-1.49
interleaved,8,189,0.0,0.0,351,76,-1.72
interleaved,8,190,26.78,0.0,358,58,-1.58
interleaved,8,191,26.78,0.0,425,58,-1.52
interleaved,8,192,26.78,0.0,484,58,-1.47
interleaved,8,193,26.78,0.0,472,48,-1.42
interleaved,8,194,26.78,0.0,464,50,-1.52
interleaved,8,195,26.78,0.0,533,58,-1.52
interleaved,8,196,0.0,0.0,421,51,-1.45
interleaved,8,197,26.78,0.0,642,67,-1.57
interleaved,8,198,0.0,0.0,450,59,-1.59
interleaved,8,199,26.78,0.0,459,50,-1.7
interleaved,8,200,0.0,0.0,400,42,-1.49
interleaved,8,201,26.78,0.0,456,50,-1.46
interleaved,8,202,0.0,0.0,458,58,-1.63
interleaved,8,203,0.0,0.0,408,68,-1.71
interleaved,8,204,26.78,0.0,408,50,-1.4
interleaved,8,205,0.0,0.0,659,50,-1.45
interleaved,8,206,0.0,0.0,408,58,-1.55
interleaved,8,207,26.78,0.0,450,50,-1.64
interleaved,8,208,0.0,0.0,467,75,-1.47
interleaved,8,209,0.0,0.0,458,50,-1.67
interleaved,8,210,0.0,0.0,391,50,-1.59
interleaved,8,211,0.0,0.0,358,56,-1.57
interleaved,8,212,26.78,0.0,466,50,-1.62
interleaved,8,213,0.0,0.0,433,59,-1.58
interleaved,8,214,26.78,0.0,417,58,-1.47
interleaved,8,215,26.78,0.0,466,50,-1.59
interleaved,8,216,0.0,0.0,480,59,-1.48
