condition,subject,trial,state,t,x,y
blocked,21412798461,1,state_init,163450.0,-3.9047644322506585,826.1891297284527
blocked,21412798461,1,state_init,163459.0,-10.960649934868343,827.6104528325004
blocked,21412798461,1,state_init,163468.0,-16.86578441285144,828.9495373398271
blocked,21412798461,1,state_init,163476.0,-21.854604920113275,830.3329360398507
blocked,21412798461,1,state_init,163485.0,-25.736308401346264,831.6241806278903
blocked,21412798461,1,state_init,163493.0,-30.42782444880936,833.7568907518325
blocked,21412798461,1,state_init,163502.0,-31.271367244224734,834.2676421883394
blocked,21412798461,1,state_init,163510.0,-33.802234851953585,836.1444803456477
blocked,21412798461,1,state_init,163519.0,-34.43392310150648,836.7073693699574
blocked,21412798461,1,state_init,163527.0,-35.86853433856197,838.2102229321639
blocked,21412798461,1,state_init,163536.0,-36.52983820778252,839.0750775207125
blocked,21412798461,1,state_init,163544.0,-36.963116158850426,839.8277988799326
blocked,21412798461,1,state_init,163553.0,-37.12870526978759,840.2301980271541
blocked,21412798461,1,state_init,163563.0,-37.17018627504126,840.4672472139403
blocked,21412798461,1,state_init,163572.0,-37.14951753885941,840.7480757479465
blocked,21412798461,1,state_init,163582.0,-36.96536484079627,841.2835080582807
blocked,21412798461,1,state_init,163590.0,-36.66566816616171,841.6986859951521
blocked,21412798461,1,state_init,163599.0,-36.23224668220348,842.0726950088249
blocked,21412798461,1,state_init,163608.0,-35.67045895015417,842.3965608805677
blocked,21412798461,1,state_init,163616.0,-34.98020928141966,842.6606981396752
blocked,21412798461,1,state_init,163625.0,-34.29512679673087,842.8923610622917
blocked,21412798461,1,state_init,163633.0,-33.658845494693196,843.0855623723195
blocked,21412798461,1,state_init,163641.0,-33.11815709749567,843.2394253642864
blocked,21412798461,1,state_init,163649.0,-32.594118515555806,843.3645122517419
blocked,21412798461,1,state_init,163658.0,-32.25150550676642,843.4588136225921
blocked,21412798461,1,state_init,163667.0,-32.10653728771422,843.485113999071
blocked,21412798461,1,state_init,163675.0,-32.03276138217677,843.5048142720873
blocked,21412798461,1,state_init,163683.0,-32.02630240212022,843.502678434811
blocked,21412798461,1,state_init,163691.0,-32.02324036713037,843.5161669384148
blocked,21412798461,1,state_init,163700.0,-32.02749850953796,843.5099327196707
blocked,21412798461,1,state_init,163709.0,-32.03108683179187,843.5210348987202
