condition,subject,trial,su,rotation,rt,mt,ep
interleaved,30,1,26.78,0.0,862,69,-1.56
interleaved,30,2,0.0,0.0,379,137,-1.67
interleaved,30,3,26.78,0.0,454,124,-1.65
interleaved,30,4,0.0,0.0,310,153,-1.61
interleaved,30,5,0.0,0.0,396,107,-1.62
interleaved,30,6,0.0,0.0,367,118,-1.65
interleaved,30,7,0.0,0.0,602,96,-1.57
interleaved,30,8,0.0,0.0,416,137,-1.68
interleaved,30,9,26.78,0.0,329,143,-1.59
interleaved,30,10,0.0,0.0,681,3186,1.5
interleaved,30,11,26.78,0.0,426,153,-1.5
interleaved,30,12,0.0,0.0,457,102,-1.49
interleaved,30,13,26.78,0.0,414,194,-1.48
interleaved,30,14,0.0,0.0,558,244,-1.58
interleaved,30,15,26.78,0.0,333,241,-1.48
interleaved,30,16,0.0,0.0,344,164,-1.56
interleaved,30,17,26.78,0.0,343,184,-1.61
interleaved,30,18,0.0,0.0,310,650,-1.54
interleaved,30,19,26.78,0.0,362,173,-1.52
interleaved,30,20,0.0,0.0,588,211,-1.61
interleaved,30,21,26.78,0.0,310,507,-1.57
interleaved,30,22,26.78,0.0,434,140,-1.57
interleaved,30,23,26.78,0.0,457,142,-1.51
interleaved,30,24,26.78,0.0,802,133,-1.58
interleaved,30,25,26.78,0.0,326,182,-1.5
interleaved,30,26,0.0,0.0,355,126,-1.51
interleaved,30,27,0.0,0.0,356,230,-1.51
interleaved,30,28,26.78,0.0,470,162,-1.61
interleaved,30,29,26.78,0.0,384,191,-1.65
interleaved,30,30,26.78,0.26,378,212,-1.85
interleaved,30,31,26.78,0.26,355,153,-1.77
interleaved,30,32,0.0,0.26,371,133,-1.79
interleaved,30,33,26.78,0.26,419,98,-1.41
interleaved,30,34,26.78,0.26,432,76,-1.22
interleaved,30,35,26.78,0.26,417,150,-1.6
interleaved,30,36,26.78,0.26,316,86,-1.21
interleaved,30,37,0.0,0.26,308,104,-1.45
interleaved,30,38,0.0,0.26,363,76,-1.1
interleaved,30,39,0.0,0.26,462,132,-1.62
interleaved,30,40,0.0,0.26,619,95,-1.37
interleaved,30,41,26.78,0.26,323,137,-1.31
interleaved,30,42,26.78,0.26,350,1506,-1.25
interleaved,30,43,0.0,0.26,482,135,-1.38
interleaved,30,44,0.0,0.26,312,129,-1.24
interleaved,30,45,0.0,0.26,399,126,-1.29
interleaved,30,46,26.78,0.26,318,126,-1.26
interleaved,30,47,26.78,0.26,1245,120,-1.28
interleaved,30,48,26.78,0.26,293,1335,-1.22
interleaved,30,49,0.0,0.26,414,97,-1.22
interleaved,30,50,26.78,0.26,437,1000,-1.4
interleaved,30,51,26.78,0.26,344,114,-1.4
interleaved,30,52,26.78,0.26,423,135,-1.35
interleaved,30,53,26.78,0.26,291,127,-1.24
interleaved,30,54,0.0,0.26,497,107,-1.32
interleaved,30,55,0.0,0.26,322,134,-1.3
interleaved,30,56,26.78,0.26,383,127,-1.28
interleaved,30,57,0.0,0.26,319,1512,-1.27
interleaved,30,58,26.78,0.26,468,116,-1.3
interleaved,30,59,26.78,0.26,344,127,-1.27
interleaved,30,60,26.78,0.26,333,131,-1.27
interleaved,30,61,0.0,0.26,398,124,-1.2
interleaved,30,62,26.78,0.26,336,1547,-1.24
interleaved,30,63,0.0,0.26,435,116,-1.3
interleaved,30,64,26.78,0.26,462,108,-1.3
interleaved,30,65,0.0,0.26,551,155,-1.34
interleaved,30,66,26.78,0.26,349,964,-1.42
interleaved,30,67,0.0,0.26,447,97,-1.36
interleaved,30,68,0.0,0.26,341,97,-1.27
interleaved,30,69,0.0,0.26,518,88,-1.39
interleaved,30,70,0.0,0.26,464,107,-1.44
interleaved,30,71,26.78,0.26,558,97,-1.23
interleaved,30,72,26.78,0.26,417,115,-1.35
interleaved,30,73,0.0,0.26,453,89,-1.32
interleaved,30,74,0.0,0.26,314,98,-1.32
interleaved,30,75,0.0,0.26,290,887,-1.3
interleaved,30,76,26.78,0.26,294,98,-1.36
interleaved,30,77,26.78,0.26,313,110,-1.32
interleaved,30,78,0.0,0.26,472,145,-1.29
interleaved,30,79,0.0,0.26,299,117,-1.35
interleaved,30,80,26.78,0.26,294,95,-1.25
interleaved,30,81,26.78,0.26,447,106,-1.38
interleaved,30,82,0.0,0.26,398,113,-1.32
interleaved,30,83,26.78,0.26,514,136,-1.24
interleaved,30,84,0.0,0.26,407,106,-1.31
interleaved,30,85,26.78,0.26,397,106,-1.36
interleaved,30,86,26.78,0.26,332,117,-1.29
interleaved,30,87,26.78,0.26,483,125,-1.46
interleaved,30,88,0.0,0.26,293,107,-1.32
interleaved,30,89,0.0,0.26,401,108,-1.34
interleaved,30,90,26.78,0.26,371,126,-1.36
interleaved,30,91,26.78,0.26,362,97,-1.37
interleaved,30,92,26.78,0.26,285,117,-1.33
interleaved,30,93,26.78,0.26,263,125,-1.38
interleaved,30,94,26.78,0.26,295,105,-1.36
interleaved,30,95,26.78,0.26,287,88,-1.35
interleaved,30,96,0.0,0.26,297,101,-1.29
interleaved,30,97,26.78,0.26,333,116,-1.37
interleaved,30,98,26.78,0.26,303,108,-1.31
interleaved,30,99,0.0,0.26,373,106,-1.25
interleaved,30,100,0.0,0.26,474,154,-1.34
interleaved,30,101,0.0,0.26,342,85,-1.39
interleaved,30,102,0.0,0.26,409,96,-1.29
interleaved,30,103,26.78,0.26,343,133,-1.45
interleaved,30,104,26.78,0.26,459,97,-1.41
interleaved,30,105,26.78,0.26,351,127,-1.4
interleaved,30,106,0.0,0.26,337,97,-1.28
interleaved,30,107,26.78,0.26,958,382,-1.35
interleaved,30,108,26.78,0.26,335,96,-1.37
interleaved,30,109,0.0,0.26,323,77,-1.35
interleaved,30,110,0.0,0.26,321,98,-1.43
interleaved,30,111,0.0,0.26,295,100,-1.37
interleaved,30,112,0.0,0.26,291,93,-1.17
interleaved,30,113,0.0,0.26,327,106,-1.35
interleaved,30,114,0.0,0.26,327,99,-1.23
