condition,subject,trial,su,rotation,rt,mt,ep
blocked,33,1,0.0,0.0,51,1334,-1.64
blocked,33,2,26.78,0.0,604,173,-1.64
blocked,33,3,0.0,0.0,596,141,-1.59
blocked,33,4,0.0,0.0,601,82,-1.57
blocked,33,5,0.0,0.0,574,61,-1.61
blocked,33,6,0.0,0.0,541,72,-1.55
blocked,33,7,26.78,0.0,591,71,-1.54
blocked,33,8,0.0,0.0,532,61,-1.54
blocked,33,9,26.78,0.0,513,61,-1.54
blocked,33,10,0.0,0.0,439,61,-1.61
blocked,33,11,0.0,0.0,450,51,-1.53
blocked,33,12,26.78,0.0,421,61,-1.58
blocked,33,13,26.78,0.0,470,60,-1.59
blocked,33,14,0.0,0.0,459,51,-1.59
blocked,33,15,26.78,0.0,520,51,-1.59
blocked,33,16,26.78,0.0,440,41,-1.57
blocked,33,17,0.0,0.0,365,52,-1.61
blocked,33,18,0.0,0.0,378,215,-1.56
blocked,33,19,0.0,0.0,562,52,-1.5
blocked,33,20,0.0,0.0,408,61,-1.53
blocked,33,21,26.78,0.0,439,133,-1.56
blocked,33,22,26.78,0.0,317,72,-1.62
blocked,33,23,0.0,0.0,348,81,-1.65
blocked,33,24,26.78,0.0,521,72,-1.65
blocked,33,25,0.0,0.0,510,71,-1.61
blocked,33,26,0.0,0.0,461,81,-1.74
blocked,33,27,0.0,0.0,358,50,-1.48
blocked,33,28,26.78,0.0,368,101,-1.56
blocked,33,29,26.78,0.0,379,71,-1.53
blocked,33,30,0.0,0.26,365,81,-1.79
blocked,33,31,0.0,0.26,369,73,-1.81
blocked,33,32,0.0,0.26,361,81,-1.75
blocked,33,33,0.0,0.26,421,123,-1.54
blocked,33,34,0.0,0.26,388,112,-1.27
blocked,33,35,0.0,0.26,487,60,-1.47
blocked,33,36,0.0,0.26,400,100,-1.29
blocked,33,37,0.0,0.26,359,61,-1.17
blocked,33,38,0.0,0.26,389,71,-1.18
blocked,33,39,0.0,0.26,543,61,-1.27
blocked,33,40,0.0,0.26,409,51,-1.33
blocked,33,41,0.0,0.26,437,51,-1.24
blocked,33,42,0.0,0.26,481,51,-1.34
blocked,33,43,0.0,0.26,574,61,-1.3
blocked,33,44,0.0,0.26,572,51,-1.37
blocked,33,45,0.0,0.26,357,61,-1.25
blocked,33,46,0.0,0.26,388,51,-1.45
blocked,33,47,0.0,0.26,478,61,-1.25
blocked,33,48,0.0,0.26,467,40,-1.37
blocked,33,49,0.0,0.26,1371,51,-1.25
blocked,33,50,0.0,0.26,376,51,-1.32
blocked,33,51,0.0,0.26,436,52,-1.24
blocked,33,52,0.0,0.26,644,40,-1.37
blocked,33,53,0.0,0.26,421,51,-1.35
blocked,33,54,0.0,0.26,1323,81,-1.3
blocked,33,55,0.0,0.26,461,62,-1.36
blocked,33,56,0.0,0.26,513,71,-1.28
blocked,33,57,0.0,0.26,1000,51,-1.23
blocked,33,58,0.0,0.26,529,52,-1.31
blocked,33,59,0.0,0.26,540,459,-1.32
blocked,33,60,0.0,0.26,367,51,-1.25
