condition,subject,trial,su,rotation,rt,mt,ep
interleaved,34,1,0.0,0.0,659,150,-1.58
interleaved,34,2,0.0,0.0,508,92,-1.56
interleaved,34,3,0.0,0.0,476,74,-1.54
interleaved,34,4,26.78,0.0,442,100,-1.49
interleaved,34,5,0.0,0.0,400,126,-1.6
interleaved,34,6,26.78,0.0,416,117,-1.58
interleaved,34,7,0.0,0.0,508,92,-1.58
interleaved,34,8,26.78,0.0,493,116,-1.62
interleaved,34,9,26.78,0.0,425,134,-1.62
interleaved,34,10,26.78,0.0,442,100,-1.52
interleaved,34,11,26.78,0.0,407,134,-1.58
interleaved,34,12,26.78,0.0,391,142,-1.58
interleaved,34,13,0.0,0.0,660,125,-1.59
interleaved,34,14,0.0,0.0,517,108,-1.55
interleaved,34,15,26.78,0.0,467,107,-1.54
interleaved,34,16,0.0,0.0,509,108,-1.56
interleaved,34,17,0.0,0.0,566,118,-1.54
interleaved,34,18,26.78,0.0,416,117,-1.57
interleaved,34,19,0.0,0.0,425,108,-1.62
interleaved,34,20,0.0,0.0,766,109,-1.62
interleaved,34,21,0.0,0.0,558,117,-1.56
interleaved,34,22,26.78,0.0,410,115,-1.58
interleaved,34,23,26.78,0.0,383,141,-1.59
interleaved,34,24,26.78,0.0,341,150,-1.64
interleaved,34,25,0.0,0.0,492,125,-1.6
interleaved,34,26,26.78,0.0,399,125,-1.59
interleaved,34,27,0.0,0.0,491,151,-1.55
interleaved,34,28,0.0,0.0,709,133,-1.57
interleaved,34,29,26.78,0.0,425,125,-1.6
interleaved,34,30,26.78,0.26,775,109,-1.83
interleaved,34,31,0.0,0.26,384,124,-1.91
interleaved,34,32,0.0,0.26,342,118,-1.92
interleaved,34,33,26.78,0.26,350,141,-1.97
interleaved,34,34,26.78,0.26,358,192,-2.01
interleaved,34,35,0.0,0.26,617,200,-2.0
interleaved,34,36,0.0,0.26,408,183,-1.92
interleaved,34,37,0.0,0.26,341,175,-1.93
interleaved,34,38,0.0,0.26,875,109,-1.9
interleaved,34,39,26.78,0.26,450,141,-1.96
interleaved,34,40,0.0,0.26,1200,142,-1.7
interleaved,34,41,26.78,0.26,425,116,-1.92
interleaved,34,42,26.78,0.26,433,142,-1.91
interleaved,34,43,0.0,0.26,567,166,-1.93
interleaved,34,44,0.0,0.26,383,183,-1.94
interleaved,34,45,0.0,0.26,449,184,-1.97
interleaved,34,46,26.78,0.26,426,133,-1.94
interleaved,34,47,0.0,0.26,400,224,-1.95
interleaved,34,48,26.78,0.26,383,192,-1.98
interleaved,34,49,0.0,0.26,416,192,-1.97
interleaved,34,50,0.0,0.26,450,192,-2.0
interleaved,34,51,26.78,0.26,450,202,-1.92
interleaved,34,52,26.78,0.26,507,225,-1.99
interleaved,34,53,0.0,0.26,342,200,-1.94
interleaved,34,54,26.78,0.26,400,250,-1.9
interleaved,34,55,0.0,0.26,559,266,-2.0
interleaved,34,56,0.0,0.26,360,251,-1.96
interleaved,34,57,0.0,0.26,450,201,-1.98
interleaved,34,58,0.0,0.26,383,257,-1.92
interleaved,34,59,26.78,0.26,466,234,-1.92
interleaved,34,60,26.78,0.26,383,225,-1.98
interleaved,34,61,26.78,0.26,761,242,-1.95
interleaved,34,62,0.0,0.26,1250,208,-1.92
interleaved,34,63,26.78,0.26,417,241,-1.94
interleaved,34,64,0.0,0.26,900,259,-1.92
interleaved,34,65,0.0,0.26,516,233,-1.95
interleaved,34,66,0.0,0.26,696,259,-1.96
interleaved,34,67,0.0,0.26,466,283,-1.93
interleaved,34,68,0.0,0.26,392,258,-1.9
interleaved,34,69,26.78,0.26,475,275,-1.92
interleaved,34,70,26.78,0.26,376,249,-1.98
