condition,subject,trial,su,rotation,rt,mt,ep
interleaved,12,1,0.0,0.0,683,163,-1.54
interleaved,12,2,0.0,0.0,859,100,-1.57
interleaved,12,3,26.78,0.0,516,121,-1.54
interleaved,12,4,0.0,0.0,679,121,-1.61
interleaved,12,5,0.0,0.0,454,121,-1.56
interleaved,12,6,26.78,0.0,625,100,-1.56
interleaved,12,7,26.78,0.0,546,121,-1.63
interleaved,12,8,0.0,0.0,504,129,-1.61
interleaved,12,9,26.78,0.0,687,100,-1.63
interleaved,12,10,26.78,0.0,583,142,-1.59
interleaved,12,11,0.0,0.0,696,120,-1.64
interleaved,12,12,26.78,0.0,759,121,-1.59
interleaved,12,13,26.78,0.0,613,133,-1.64
interleaved,12,14,0.0,0.0,533,121,-1.56
interleaved,12,15,0.0,0.0,838,100,-1.53
interleaved,12,16,26.78,0.0,492,100,-1.57
interleaved,12,17,26.78,0.0,746,87,-1.59
interleaved,12,18,0.0,0.0,454,133,-1.53
interleaved,12,19,26.78,0.0,617,91,-1.61
interleaved,12,20,26.78,0.0,554,109,-1.54
interleaved,12,21,26.78,0.0,450,104,-1.56
interleaved,12,22,26.78,0.0,688,108,-1.56
interleaved,12,23,26.78,0.0,655,99,-1.59
interleaved,12,24,26.78,0.0,917,92,-1.58
interleaved,12,25,0.0,0.0,654,100,-1.65
interleaved,12,26,26.78,0.0,541,105,-1.6
interleaved,12,27,26.78,0.0,604,109,-1.65
interleaved,12,28,26.78,0.0,645,92,-1.6
interleaved,12,29,0.0,0.0,475,100,-1.61
interleaved,12,30,26.78,0.26,496,79,-1.84
interleaved,12,31,0.0,0.26,538,100,-1.84
interleaved,12,32,26.78,0.26,525,92,-1.85
interleaved,12,33,26.78,0.26,667,100,-1.96
interleaved,12,34,26.78,0.26,604,100,-1.9
interleaved,12,35,26.78,0.26,725,92,-2.04
interleaved,12,36,26.78,0.26,433,92,-2.06
interleaved,12,37,0.0,0.26,495,100,-1.97
interleaved,12,38,26.78,0.26,696,100,-2.06
interleaved,12,39,0.0,0.26,596,129,-1.91
interleaved,12,40,0.0,0.26,604,105,-1.99
interleaved,12,41,0.0,0.26,575,100,-2.01
interleaved,12,42,26.78,0.26,654,92,-2.0
interleaved,12,43,26.78,0.26,767,121,-1.88
interleaved,12,44,26.78,0.26,663,104,-2.06
interleaved,12,45,0.0,0.26,583,104,-1.98
interleaved,12,46,0.0,0.26,525,91,-2.04
interleaved,12,47,0.0,0.26,780,100,-2.03
interleaved,12,48,0.0,0.26,516,113,-1.94
interleaved,12,49,26.78,0.26,625,112,-2.09
interleaved,12,50,0.0,0.26,512,104,-2.04
interleaved,12,51,26.78,0.26,575,104,-2.01
