condition,subject,trial,su,rotation,rt,mt,ep
blocked,23,1,0.0,0.0,368,298,-1.69
blocked,23,2,26.78,0.0,475,101,-1.69
blocked,23,3,0.0,0.0,284,111,-1.62
blocked,23,4,0.0,0.0,359,133,-1.6
blocked,23,5,0.0,0.0,303,125,-1.59
blocked,23,6,0.0,0.0,333,133,-1.51
blocked,23,7,26.78,0.0,341,108,-1.56
blocked,23,8,26.78,0.0,567,108,-1.6
blocked,23,9,26.78,0.0,317,133,-1.68
blocked,23,10,0.0,0.0,302,114,-1.64
blocked,23,11,0.0,0.0,341,86,-1.64
blocked,23,12,0.0,0.0,568,108,-1.57
blocked,23,13,0.0,0.0,300,133,-1.62
blocked,23,14,26.78,0.0,367,175,-1.58
blocked,23,15,26.78,0.0,283,167,-1.62
blocked,23,16,26.78,0.0,292,183,-1.61
blocked,23,17,0.0,0.0,300,209,-1.59
blocked,23,18,26.78,0.0,400,133,-1.59
blocked,23,19,0.0,0.0,556,183,-1.59
blocked,23,20,0.0,0.0,300,175,-1.62
blocked,23,21,0.0,0.0,292,166,-1.52
blocked,23,22,26.78,0.0,275,158,-1.59
blocked,23,23,26.78,0.0,317,191,-1.67
blocked,23,24,26.78,0.0,275,175,-1.67
blocked,23,25,26.78,0.0,323,209,-1.61
blocked,23,26,26.78,0.0,569,206,-1.59
blocked,23,27,26.78,0.0,326,176,-1.59
blocked,23,28,0.0,0.0,275,233,-1.66
blocked,23,29,26.78,0.0,433,282,-1.66
blocked,23,30,26.78,0.26,404,179,-1.86
blocked,23,31,26.78,0.26,300,125,-1.94
blocked,23,32,26.78,0.26,308,142,-2.2
blocked,23,33,26.78,0.26,308,125,-2.44
blocked,23,34,26.78,0.26,333,126,-2.39
blocked,23,35,26.78,0.26,584,99,-2.71
blocked,23,36,26.78,0.26,366,110,-2.83
blocked,23,37,26.78,0.26,1824,125,-2.45
blocked,23,38,26.78,0.26,441,108,3.03
blocked,23,39,26.78,0.26,709,133,-3.05
blocked,23,40,26.78,0.26,475,83,3.03
blocked,23,41,26.78,0.26,417,116,-2.04
blocked,23,42,26.78,0.26,359,91,-2.37
blocked,23,43,26.78,0.26,417,133,-2.86
blocked,23,44,26.78,0.26,509,124,-2.14
blocked,23,45,26.78,0.26,383,142,-3.07
blocked,23,46,26.78,0.26,734,742,-2.25
blocked,23,47,26.78,0.26,318,174,-3.03
blocked,23,48,26.78,0.26,290,150,2.96
blocked,23,49,26.78,0.26,923,78,-3.11
blocked,23,50,26.78,0.26,566,84,-2.17
blocked,23,51,26.78,0.26,583,100,-2.41
blocked,23,52,26.78,0.26,309,167,-2.19
blocked,23,53,26.78,0.26,391,142,-2.44
blocked,23,54,26.78,0.26,508,125,-2.53
blocked,23,55,26.78,0.26,675,109,-2.57
blocked,23,56,26.78,0.26,732,118,-2.94
blocked,23,57,26.78,0.26,351,158,-2.51
blocked,23,58,26.78,0.26,916,91,-2.1
blocked,23,59,26.78,0.26,325,108,-2.34
blocked,23,60,26.78,0.26,975,117,-2.58
blocked,23,61,26.78,0.26,358,83,2.95
