condition,subject,trial,su,rotation,rt,mt,ep
interleaved,32,1,0.0,0.0,392,117,-1.63
interleaved,32,2,0.0,0.0,384,108,-1.5
interleaved,32,3,26.78,0.0,366,75,-1.57
interleaved,32,4,0.0,0.0,525,83,-1.61
interleaved,32,5,0.0,0.0,317,57,-1.69
interleaved,32,6,26.78,0.0,334,83,-1.6
interleaved,32,7,26.78,0.0,417,67,-1.56
interleaved,32,8,26.78,0.0,334,116,-1.49
interleaved,32,9,26.78,0.0,367,100,-1.57
interleaved,32,10,0.0,0.0,450,109,-1.56
interleaved,32,11,0.0,0.0,417,108,-1.57
interleaved,32,12,26.78,0.0,367,117,-1.6
interleaved,32,13,0.0,0.0,383,125,-1.59
interleaved,32,14,0.0,0.0,292,117,-1.54
interleaved,32,15,0.0,0.0,308,116,-1.57
interleaved,32,16,26.78,0.0,317,100,-1.52
interleaved,32,17,26.78,0.0,276,100,-1.56
interleaved,32,18,0.0,0.0,300,124,-1.58
interleaved,32,19,26.78,0.0,242,91,-1.53
interleaved,32,20,26.78,0.0,283,117,-1.57
interleaved,32,21,26.78,0.0,315,126,-1.64
interleaved,32,22,26.78,0.0,367,133,-1.64
interleaved,32,23,0.0,0.0,258,100,-1.56
interleaved,32,24,0.0,0.0,358,100,-1.55
interleaved,32,25,26.78,0.0,284,100,-1.61
interleaved,32,26,0.0,0.0,242,100,-1.56
interleaved,32,27,26.78,0.0,250,91,-1.62
interleaved,32,28,0.0,0.0,242,108,-1.55
interleaved,32,29,0.0,0.0,233,100,-1.6
interleaved,32,30,0.0,0.26,317,108,-1.79
interleaved,32,31,26.78,0.26,326,91,-1.88
interleaved,32,32,0.0,0.26,242,108,-1.83
interleaved,32,33,0.0,0.26,417,100,-1.93
interleaved,32,34,26.78,0.26,266,100,-2.13
interleaved,32,35,26.78,0.26,283,100,-2.04
interleaved,32,36,26.78,0.26,309,100,-2.38
interleaved,32,37,26.78,0.26,409,115,-1.99
interleaved,32,38,0.0,0.26,300,109,-2.02
interleaved,32,39,0.0,0.26,375,108,-2.61
interleaved,32,40,0.0,0.26,250,100,-1.91
interleaved,32,41,0.0,0.26,300,91,-1.94
interleaved,32,42,26.78,0.26,350,83,-2.22
interleaved,32,43,0.0,0.26,292,83,-2.28
interleaved,32,44,0.0,0.26,309,100,-1.96
interleaved,32,45,26.78,0.26,283,83,-1.99
interleaved,32,46,0.0,0.26,292,83,-1.97
interleaved,32,47,0.0,0.26,583,75,-1.97
interleaved,32,48,26.78,0.26,242,74,-1.96
interleaved,32,49,0.0,0.26,250,83,-1.95
interleaved,32,50,0.0,0.26,458,84,-1.83
interleaved,32,51,26.78,0.26,383,67,-1.85
interleaved,32,52,26.78,0.26,241,83,-1.88
interleaved,32,53,0.0,0.26,292,91,-1.86
interleaved,32,54,0.0,0.26,351,74,-1.84
interleaved,32,55,26.78,0.26,333,67,-2.1
interleaved,32,56,26.78,0.26,276,83,-2.16
interleaved,32,57,0.0,0.26,259,91,-2.21
interleaved,32,58,26.78,0.26,333,84,-2.1
interleaved,32,59,26.78,0.26,525,67,-2.13
interleaved,32,60,0.0,0.26,358,83,-2.26
interleaved,32,61,26.78,0.26,267,83,-2.24
interleaved,32,62,26.78,0.26,258,84,-2.07
interleaved,32,63,26.78,0.26,259,83,-2.16
interleaved,32,64,26.78,0.26,268,99,-2.13
interleaved,32,65,0.0,0.26,425,91,-2.21
interleaved,32,66,0.0,0.26,250,92,-2.09
interleaved,32,67,26.78,0.26,283,100,-2.21
interleaved,32,68,26.78,0.26,309,83,-2.2
interleaved,32,69,26.78,0.26,366,100,-2.15
interleaved,32,70,26.78,0.26,350,108,-2.24
interleaved,32,71,0.0,0.26,258,92,-2.21
interleaved,32,72,26.78,0.26,333,91,-2.28
interleaved,32,73,26.78,0.26,341,92,-2.23
interleaved,32,74,26.78,0.26,350,100,-2.13
interleaved,32,75,26.78,0.26,333,92,-2.18
interleaved,32,76,26.78,0.26,283,93,-2.34
interleaved,32,77,26.78,0.26,334,101,-2.34
interleaved,32,78,26.78,0.26,391,92,-2.3
interleaved,32,79,26.78,0.26,317,100,-2.28
interleaved,32,80,26.78,0.26,309,107,-2.33
interleaved,32,81,0.0,0.26,333,91,-2.34
interleaved,32,82,0.0,0.26,283,100,-2.36
interleaved,32,83,26.78,0.26,400,83,-2.44
interleaved,32,84,0.0,0.26,317,108,-2.41
interleaved,32,85,0.0,0.26,283,84,-2.33
interleaved,32,86,0.0,0.26,282,85,-2.38
interleaved,32,87,26.78,0.26,350,92,-2.0
interleaved,32,88,0.0,0.26,275,83,-1.95
interleaved,32,89,0.0,0.26,274,100,-2.17
interleaved,32,90,0.0,0.26,242,74,-2.18
interleaved,32,91,0.0,0.26,350,67,-2.11
interleaved,32,92,26.78,0.26,317,82,-2.22
interleaved,32,93,26.78,0.26,292,75,-2.16
interleaved,32,94,26.78,0.26,258,75,-2.24
interleaved,32,95,26.78,0.26,300,66,-2.15
interleaved,32,96,0.0,0.26,308,92,-2.35
interleaved,32,97,0.0,0.26,350,83,-2.43
interleaved,32,98,0.0,0.26,358,83,-2.4
interleaved,32,99,0.0,0.26,366,76,-2.37
interleaved,32,100,0.0,0.26,291,84,-2.22
interleaved,32,101,26.78,0.26,342,75,-2.31
interleaved,32,102,26.78,0.26,266,67,-2.36
interleaved,32,103,26.78,0.26,367,74,-2.32
interleaved,32,104,0.0,0.26,333,75,-2.38
interleaved,32,105,0.0,0.26,291,75,-2.36
interleaved,32,106,26.78,0.26,359,74,-2.3
interleaved,32,107,26.78,0.26,250,67,-2.34
interleaved,32,108,0.0,0.26,425,75,-2.28
interleaved,32,109,0.0,0.26,467,76,-2.3
interleaved,32,110,26.78,0.26,266,75,-2.37
interleaved,32,111,0.0,0.26,284,74,-2.36
interleaved,32,112,26.78,0.26,318,74,-2.24
interleaved,32,113,26.78,0.26,300,66,-2.24
interleaved,32,114,0.0,0.26,275,75,-2.38
interleaved,32,115,26.78,0.26,308,76,-2.51
interleaved,32,116,26.78,0.26,333,75,-2.47
interleaved,32,117,26.78,0.26,300,59,-2.52
interleaved,32,118,26.78,0.26,276,74,-2.61
interleaved,32,119,0.0,0.26,242,74,-2.35
interleaved,32,120,0.0,0.26,251,83,-2.41
interleaved,32,121,26.78,0.26,341,66,-2.44
interleaved,32,122,26.78,0.26,242,66,-2.29
interleaved,32,123,26.78,0.26,359,74,-2.4
interleaved,32,124,26.78,0.26,301,75,-2.42
interleaved,32,125,26.78,0.26,267,83,-2.39
interleaved,32,126,26.78,0.26,225,91,-2.39
interleaved,32,127,0.0,0.26,300,75,-2.53
interleaved,32,128,26.78,0.26,275,67,-2.5
interleaved,32,129,26.78,0.26,299,67,-2.43
interleaved,32,130,26.78,0.0,343,74,-1.6
interleaved,32,131,0.0,0.0,399,75,-1.73
interleaved,32,132,0.0,0.0,409,49,-0.99
interleaved,32,133,26.78,0.0,242,83,-2.02
interleaved,32,134,0.0,0.0,259,83,-1.63
interleaved,32,135,0.0,0.0,275,83,-1.57
interleaved,32,136,26.78,0.0,250,84,-1.6
interleaved,32,137,26.78,0.0,351,83,-1.58
interleaved,32,138,26.78,0.0,342,83,-1.58
interleaved,32,139,0.0,0.0,316,83,-1.44
interleaved,32,140,26.78,0.0,251,83,-1.57
interleaved,32,141,26.78,0.0,283,100,-1.66
interleaved,32,142,0.0,0.0,259,75,-1.66
interleaved,32,143,26.78,0.0,318,73,-1.58
interleaved,32,144,26.78,0.0,276,91,-1.66
interleaved,32,145,0.0,0.0,42,158,-1.75
interleaved,32,146,0.0,0.0,317,75,-1.63
interleaved,32,147,0.0,0.0,233,83,-1.6
interleaved,32,148,0.0,0.0,274,92,-1.59
interleaved,32,149,26.78,0.0,258,75,-1.7
interleaved,32,150,0.0,0.0,417,100,-1.62
interleaved,32,151,26.78,0.0,284,83,-1.65
interleaved,32,152,0.0,0.0,258,67,-1.68
interleaved,32,153,26.78,0.0,276,116,-1.58
interleaved,32,154,26.78,0.0,284,100,-1.53
interleaved,32,155,26.78,0.0,299,92,-1.55
interleaved,32,156,0.0,0.0,234,99,-1.63
interleaved,32,157,26.78,0.0,292,108,-1.63
interleaved,32,158,0.0,0.0,283,100,-1.75
interleaved,32,159,26.78,0.0,309,117,-1.72
interleaved,32,160,26.78,0.0,275,91,-1.68
interleaved,32,161,0.0,0.0,300,100,-1.66
interleaved,32,162,0.0,0.0,322,104,-1.65
interleaved,32,163,0.0,0.0,400,126,-1.72
interleaved,32,164,26.78,0.0,300,91,-1.65
interleaved,32,165,0.0,0.0,291,109,-1.6
interleaved,32,166,26.78,0.0,267,92,-1.6
interleaved,32,167,26.78,0.0,275,84,-1.6
interleaved,32,168,26.78,0.0,283,108,-1.62
interleaved,32,169,0.0,0.0,267,75,-1.57
interleaved,32,170,0.0,0.0,375,100,-1.61
interleaved,32,171,0.0,0.0,266,100,-1.59
interleaved,32,172,26.78,0.0,292,125,-1.59
interleaved,32,173,0.0,0.0,300,125,-1.63
interleaved,32,174,0.0,0.0,275,100,-1.61
interleaved,32,175,26.78,0.0,292,83,-1.53
interleaved,32,176,0.0,0.0,291,92,-1.58
interleaved,32,177,26.78,0.0,266,109,-1.59
interleaved,32,178,26.78,0.0,317,92,-1.58
interleaved,32,179,26.78,0.0,317,100,-1.62
interleaved,32,180,26.78,0.0,368,92,-1.59
interleaved,32,181,26.78,0.0,258,92,-1.57
interleaved,32,182,0.0,0.0,284,100,-1.57
interleaved,32,183,26.78,0.0,325,92,-1.58
interleaved,32,184,0.0,0.0,300,109,-1.57
interleaved,32,185,0.0,0.0,317,84,-1.59
interleaved,32,186,0.0,0.0,275,92,-1.52
