condition,subject,trial,su,rotation,rt,mt,ep
interleaved,64,1,0.0,0.0,575,167,-1.59
interleaved,64,2,0.0,0.0,575,93,-1.59
interleaved,64,3,0.0,0.0,717,100,-1.6
interleaved,64,4,0.0,0.0,572,117,-1.68
interleaved,64,5,26.78,0.0,625,141,-1.52
interleaved,64,6,0.0,0.0,526,108,-1.55
interleaved,64,7,26.78,0.0,509,116,-1.51
interleaved,64,8,0.0,0.0,634,133,-1.53
interleaved,64,9,26.78,0.0,575,117,-1.58
interleaved,64,10,26.78,0.0,592,84,-1.59
interleaved,64,11,0.0,0.0,526,83,-1.56
interleaved,64,12,26.78,0.0,600,91,-1.5
interleaved,64,13,0.0,0.0,367,92,-1.6
interleaved,64,14,0.0,0.0,634,92,-1.6
interleaved,64,15,0.0,0.0,465,84,-1.53
interleaved,64,16,0.0,0.0,434,83,-1.52
interleaved,64,17,0.0,0.0,592,83,-1.52
interleaved,64,18,26.78,0.0,575,91,-1.57
interleaved,64,19,26.78,0.0,542,99,-1.63
interleaved,64,20,0.0,0.0,566,75,-1.56
interleaved,64,21,26.78,0.0,482,93,-1.51
interleaved,64,22,26.78,0.0,467,109,-1.5
interleaved,64,23,26.78,0.0,576,91,-1.6
interleaved,64,24,26.78,0.0,559,91,-1.55
interleaved,64,25,26.78,0.0,384,108,-1.54
interleaved,64,26,0.0,0.0,300,108,-1.56
interleaved,64,27,26.78,0.0,467,125,-1.61
interleaved,64,28,0.0,0.0,243,116,-1.5
interleaved,64,29,0.0,0.0,542,100,-1.52
interleaved,64,30,26.78,0.26,450,83,-1.88
interleaved,64,31,0.0,0.26,281,100,-1.85
interleaved,64,32,26.78,0.26,392,107,-1.78
interleaved,64,33,0.0,0.26,442,83,-1.7
interleaved,64,34,26.78,0.26,1353,142,-1.82
interleaved,64,35,0.0,0.26,424,134,-1.78
interleaved,64,36,26.78,0.26,425,100,-1.67
interleaved,64,37,0.0,0.26,367,124,-1.71
interleaved,64,38,26.78,0.26,408,166,-1.75
interleaved,64,39,26.78,0.26,326,125,-1.73
interleaved,64,40,26.78,0.26,434,92,-1.69
interleaved,64,41,0.0,0.26,541,150,-1.73
interleaved,64,42,0.0,0.26,451,117,-1.71
interleaved,64,43,0.0,0.26,409,133,-1.67
interleaved,64,44,26.78,0.26,426,108,-1.71
interleaved,64,45,0.0,0.26,742,174,-1.75
interleaved,64,46,0.0,0.26,442,92,-1.78
interleaved,64,47,0.0,0.26,975,91,-1.55
interleaved,64,48,0.0,0.26,341,117,-1.61
interleaved,64,49,0.0,0.26,425,108,-1.61
interleaved,64,50,26.78,0.26,334,100,-1.63
interleaved,64,51,0.0,0.26,392,100,-1.58
interleaved,64,52,26.78,0.26,400,92,-1.63
interleaved,64,53,0.0,0.26,375,67,-1.61
interleaved,64,54,0.0,0.26,492,117,-1.65
interleaved,64,55,26.78,0.26,583,100,-1.68
interleaved,64,56,26.78,0.26,575,142,-1.73
interleaved,64,57,0.0,0.26,467,117,-1.63
interleaved,64,58,26.78,0.26,441,108,-1.69
interleaved,64,59,26.78,0.26,606,92,-1.61
interleaved,64,60,26.78,0.26,500,91,-1.69
interleaved,64,61,0.0,0.26,391,100,-1.7
interleaved,64,62,0.0,0.26,600,816,-1.74
interleaved,64,63,26.78,0.26,558,92,-1.57
interleaved,64,64,0.0,0.26,650,109,-1.65
interleaved,64,65,0.0,0.26,459,75,-1.59
interleaved,64,66,0.0,0.26,459,83,-1.58
interleaved,64,67,0.0,0.26,492,75,-1.63
interleaved,64,68,26.78,0.26,600,83,-1.67
interleaved,64,69,26.78,0.26,314,100,-1.58
interleaved,64,70,0.0,0.26,484,92,-1.67
interleaved,64,71,0.0,0.26,576,91,-1.66
interleaved,64,72,26.78,0.26,474,117,-1.7
interleaved,64,73,0.0,0.26,500,116,-1.57
interleaved,64,74,0.0,0.26,625,117,-1.64
interleaved,64,75,0.0,0.26,533,108,-1.73
interleaved,64,76,26.78,0.26,325,75,-1.63
interleaved,64,77,26.78,0.26,392,83,-1.59
interleaved,64,78,26.78,0.26,325,91,-1.65
interleaved,64,79,26.78,0.26,409,83,-1.64
interleaved,64,80,0.0,0.26,334,75,-1.61
interleaved,64,81,0.0,0.26,325,84,-1.65
interleaved,64,82,0.0,0.26,383,75,-1.59
interleaved,64,83,26.78,0.26,608,92,-1.66
interleaved,64,84,0.0,0.26,476,91,-1.66
interleaved,64,85,0.0,0.26,1673,83,-1.69
interleaved,64,86,26.78,0.26,566,75,-1.63
interleaved,64,87,26.78,0.26,367,58,-1.58
interleaved,64,88,26.78,0.26,358,75,-1.67
interleaved,64,89,26.78,0.26,633,85,-1.65
interleaved,64,90,0.0,0.26,434,75,-1.63
interleaved,64,91,0.0,0.26,359,83,-1.6
interleaved,64,92,0.0,0.26,400,91,-1.64
interleaved,64,93,0.0,0.26,383,74,-1.62
interleaved,64,94,0.0,0.26,408,84,-1.7
interleaved,64,95,26.78,0.26,358,66,-1.57
