condition,subject,trial,su,rotation,rt,mt,ep
interleaved,30,1,0.0,0.0,942,258,-1.9
interleaved,30,2,0.0,0.0,584,150,-1.75
interleaved,30,3,26.78,0.0,500,142,-1.78
interleaved,30,4,0.0,0.0,517,108,-1.61
interleaved,30,5,26.78,0.0,525,100,-1.51
interleaved,30,6,26.78,0.0,383,83,-1.54
interleaved,30,7,26.78,0.0,559,91,-1.56
interleaved,30,8,26.78,0.0,382,99,-1.5
interleaved,30,9,26.78,0.0,383,108,-1.66
interleaved,30,10,0.0,0.0,350,100,-1.68
interleaved,30,11,0.0,0.0,3083,109,-1.58
interleaved,30,12,0.0,0.0,467,75,-1.59
interleaved,30,13,26.78,0.0,441,92,-1.67
interleaved,30,14,26.78,0.0,384,91,-1.67
interleaved,30,15,0.0,0.0,375,75,-1.58
interleaved,30,16,0.0,0.0,417,59,-1.58
interleaved,30,17,26.78,0.0,317,116,-1.63
interleaved,30,18,26.78,0.0,333,84,-1.56
interleaved,30,19,0.0,0.0,367,91,-1.63
interleaved,30,20,0.0,0.0,309,83,-1.61
interleaved,30,21,26.78,0.0,366,67,-1.64
interleaved,30,22,26.78,0.0,325,83,-1.59
interleaved,30,23,26.78,0.0,359,58,-1.49
interleaved,30,24,26.78,0.0,408,75,-1.59
interleaved,30,25,26.78,0.0,342,66,-1.57
interleaved,30,26,26.78,0.0,517,67,-1.67
interleaved,30,27,0.0,0.0,467,58,-1.6
interleaved,30,28,26.78,0.0,333,83,-1.57
interleaved,30,29,26.78,0.0,392,84,-1.72
interleaved,30,30,26.78,0.26,375,75,-1.87
interleaved,30,31,0.0,0.26,467,66,-1.74
interleaved,30,32,26.78,0.26,358,76,-1.92
interleaved,30,33,26.78,0.26,500,58,-1.85
interleaved,30,34,26.78,0.26,341,68,-1.84
interleaved,30,35,0.0,0.26,409,74,-1.77
interleaved,30,36,0.0,0.26,372,80,-1.7
interleaved,30,37,26.78,0.26,525,58,-1.67
interleaved,30,38,0.0,0.26,408,50,-1.63
interleaved,30,39,0.0,0.26,650,67,-1.7
interleaved,30,40,0.0,0.26,458,58,-1.61
interleaved,30,41,26.78,0.26,491,67,-1.7
interleaved,30,42,26.78,0.26,416,67,-1.7
interleaved,30,43,0.0,0.26,433,51,-1.79
interleaved,30,44,26.78,0.26,458,76,-1.68
interleaved,30,45,0.0,0.26,467,67,-1.71
interleaved,30,46,0.0,0.26,434,58,-1.59
interleaved,30,47,0.0,0.26,467,75,-1.78
interleaved,30,48,0.0,0.26,450,75,-1.64
interleaved,30,49,0.0,0.26,692,58,-1.64
interleaved,30,50,0.0,0.26,400,50,-1.72
interleaved,30,51,0.0,0.26,325,75,-1.71
interleaved,30,52,26.78,0.26,475,51,-1.81
interleaved,30,53,0.0,0.26,600,67,-1.68
interleaved,30,54,26.78,0.26,633,67,-1.66
interleaved,30,55,26.78,0.26,441,51,-1.76
interleaved,30,56,0.0,0.26,434,58,-1.77
interleaved,30,57,0.0,0.26,384,58,-1.78
interleaved,30,58,0.0,0.26,376,58,-1.85
interleaved,30,59,0.0,0.26,333,76,-1.72
interleaved,30,60,0.0,0.26,342,58,-1.74
interleaved,30,61,26.78,0.26,300,67,-1.72
interleaved,30,62,0.0,0.26,300,67,-1.74
interleaved,30,63,0.0,0.26,283,100,-1.93
interleaved,30,64,26.78,0.26,366,59,-1.83
interleaved,30,65,0.0,0.26,350,59,-1.85
interleaved,30,66,26.78,0.26,441,66,-1.72
interleaved,30,67,0.0,0.26,267,83,-1.85
interleaved,30,68,26.78,0.26,301,59,-1.79
interleaved,30,69,0.0,0.26,392,67,-1.82
interleaved,30,70,26.78,0.26,375,66,-1.77
interleaved,30,71,26.78,0.26,300,75,-1.79
interleaved,30,72,26.78,0.26,425,83,-1.75
interleaved,30,73,26.78,0.26,349,67,-1.92
interleaved,30,74,0.0,0.26,400,83,-1.85
interleaved,30,75,26.78,0.26,608,59,-1.8
interleaved,30,76,0.0,0.26,326,74,-1.89
interleaved,30,77,0.0,0.26,657,59,-1.74
interleaved,30,78,0.0,0.26,441,59,-1.69
interleaved,30,79,26.78,0.26,650,74,-1.93
interleaved,30,80,26.78,0.26,375,66,-1.87
interleaved,30,81,26.78,0.26,416,76,-1.9
interleaved,30,82,0.0,0.26,317,91,-1.77
interleaved,30,83,0.0,0.26,500,67,-1.43
interleaved,30,84,26.78,0.26,391,67,-1.65
interleaved,30,85,0.0,0.26,365,66,-1.7
interleaved,30,86,26.78,0.26,459,74,-1.55
interleaved,30,87,0.0,0.26,450,66,-1.55
interleaved,30,88,26.78,0.26,450,75,-1.5
interleaved,30,89,0.0,0.26,642,83,-1.44
interleaved,30,90,0.0,0.26,383,100,-1.82
interleaved,30,91,0.0,0.26,316,59,-1.64
interleaved,30,92,0.0,0.26,366,58,-1.78
interleaved,30,93,0.0,0.26,325,67,-1.72
interleaved,30,94,0.0,0.26,400,66,-1.74
interleaved,30,95,0.0,0.26,326,58,-1.64
interleaved,30,96,26.78,0.26,392,67,-1.67
interleaved,30,97,26.78,0.26,426,74,-1.76
interleaved,30,98,26.78,0.26,342,58,-1.55
interleaved,30,99,26.78,0.26,717,67,-1.63
interleaved,30,100,26.78,0.26,342,67,-1.62
interleaved,30,101,26.78,0.26,375,67,-1.59
interleaved,30,102,26.78,0.26,366,67,-1.73
interleaved,30,103,26.78,0.26,317,66,-1.7
interleaved,30,104,26.78,0.26,373,66,-1.71
interleaved,30,105,26.78,0.26,342,83,-1.65
interleaved,30,106,0.0,0.26,359,116,-1.42
interleaved,30,107,0.0,0.26,425,75,-1.57
interleaved,30,108,26.78,0.26,375,66,-1.54
interleaved,30,109,26.78,0.26,357,66,-1.56
interleaved,30,110,26.78,0.26,400,67,-1.62
interleaved,30,111,0.0,0.26,306,92,-1.59
interleaved,30,112,26.78,0.26,358,83,-1.66
interleaved,30,113,0.0,0.26,341,59,-1.53
interleaved,30,114,26.78,0.26,375,67,-1.61
interleaved,30,115,26.78,0.26,325,76,-1.62
interleaved,30,116,26.78,0.26,316,75,-1.56
interleaved,30,117,0.0,0.26,417,66,-1.56
interleaved,30,118,0.0,0.26,434,67,-1.59
interleaved,30,119,0.0,0.26,592,91,-1.74
interleaved,30,120,26.78,0.26,558,100,-1.58
interleaved,30,121,0.0,0.26,425,92,-1.67
interleaved,30,122,0.0,0.26,534,99,-1.72
interleaved,30,123,26.78,0.26,551,75,-1.53
interleaved,30,124,0.0,0.26,392,66,-1.52
interleaved,30,125,0.0,0.26,382,67,-1.51
interleaved,30,126,26.78,0.26,433,75,-1.67
interleaved,30,127,0.0,0.26,400,83,-1.66
interleaved,30,128,26.78,0.26,366,67,-1.62
interleaved,30,129,0.0,0.26,475,75,-1.77
interleaved,30,130,0.0,0.0,392,75,-1.34
interleaved,30,131,0.0,0.0,341,84,-1.32
interleaved,30,132,0.0,0.0,525,75,-1.4
interleaved,30,133,0.0,0.0,400,66,-1.31
interleaved,30,134,26.78,0.0,399,109,-1.69
interleaved,30,135,26.78,0.0,483,91,-1.52
interleaved,30,136,26.78,0.0,477,100,-1.71
interleaved,30,137,26.78,0.0,360,92,-1.8
interleaved,30,138,26.78,0.0,383,84,-1.67
interleaved,30,139,0.0,0.0,467,99,-1.92
interleaved,30,140,26.78,0.0,359,83,-1.85
interleaved,30,141,0.0,0.0,509,91,-1.82
interleaved,30,142,26.78,0.0,383,84,-1.69
interleaved,30,143,0.0,0.0,416,92,-1.85
interleaved,30,144,0.0,0.0,416,67,-1.83
