condition,subject,trial,su,rotation,rt,mt,ep
interleaved,48,1,26.78,0.0,424,109,-1.6
interleaved,48,2,26.78,0.0,367,92,-1.54
interleaved,48,3,0.0,0.0,258,100,-1.56
interleaved,48,4,26.78,0.0,358,92,-1.58
interleaved,48,5,0.0,0.0,483,125,-1.55
interleaved,48,6,26.78,0.0,283,91,-1.63
interleaved,48,7,26.78,0.0,326,91,-1.62
interleaved,48,8,0.0,0.0,309,67,-1.63
interleaved,48,9,0.0,0.0,316,92,-1.65
interleaved,48,10,0.0,0.0,333,92,-1.64
interleaved,48,11,0.0,0.0,309,83,-1.55
interleaved,48,12,0.0,0.0,334,75,-1.52
interleaved,48,13,0.0,0.0,283,92,-1.56
interleaved,48,14,0.0,0.0,324,100,-1.69
interleaved,48,15,26.78,0.0,300,75,-1.63
interleaved,48,16,26.78,0.0,291,76,-1.55
interleaved,48,17,0.0,0.0,300,84,-1.67
interleaved,48,18,26.78,0.0,324,67,-1.49
interleaved,48,19,26.78,0.0,334,91,-1.55
interleaved,48,20,0.0,0.0,350,92,-1.6
interleaved,48,21,0.0,0.0,391,84,-1.49
interleaved,48,22,0.0,0.0,349,100,-1.54
interleaved,48,23,26.78,0.0,550,92,-1.68
interleaved,48,24,0.0,0.0,366,83,-1.53
interleaved,48,25,0.0,0.0,375,92,-1.63
interleaved,48,26,0.0,0.0,383,100,-1.56
interleaved,48,27,26.78,0.0,375,100,-1.62
interleaved,48,28,26.78,0.0,350,100,-1.61
interleaved,48,29,26.78,0.0,475,83,-1.55
interleaved,48,30,26.78,0.26,358,75,-1.8
interleaved,48,31,26.78,0.26,300,75,-1.79
interleaved,48,32,0.0,0.26,292,74,-1.8
interleaved,48,33,26.78,0.26,350,84,-1.73
interleaved,48,34,0.0,0.26,375,75,-1.73
interleaved,48,35,0.0,0.26,275,91,-1.75
interleaved,48,36,0.0,0.26,310,82,-1.76
interleaved,48,37,0.0,0.26,309,83,-1.72
interleaved,48,38,26.78,0.26,284,83,-1.72
interleaved,48,39,26.78,0.26,308,67,-1.66
interleaved,48,40,26.78,0.26,300,67,-1.7
interleaved,48,41,0.0,0.26,350,74,-1.62
interleaved,48,42,0.0,0.26,326,83,-1.7
interleaved,48,43,26.78,0.26,383,67,-1.73
interleaved,48,44,0.0,0.26,333,83,-1.68
interleaved,48,45,0.0,0.26,290,67,-1.65
interleaved,48,46,0.0,0.26,516,67,-1.59
