condition,subject,trial,su,rotation,rt,mt,ep
blocked,69,1,26.78,0.0,1570,259,-1.68
blocked,69,2,0.0,0.0,615,233,-1.6
blocked,69,3,26.78,0.0,827,214,-1.56
blocked,69,4,0.0,0.0,391,225,-1.59
blocked,69,5,26.78,0.0,543,123,-1.55
blocked,69,6,26.78,0.0,1091,150,-1.62
blocked,69,7,0.0,0.0,672,109,-1.57
blocked,69,8,26.78,0.0,671,172,-1.69
blocked,69,9,26.78,0.0,484,100,-1.6
blocked,69,10,26.78,0.0,1341,92,-1.67
blocked,69,11,26.78,0.0,500,75,-1.57
blocked,69,12,0.0,0.0,1026,83,-1.64
blocked,69,13,26.78,0.0,467,83,-1.72
blocked,69,14,26.78,0.0,366,102,-1.6
blocked,69,15,0.0,0.0,433,67,-1.63
blocked,69,16,0.0,0.0,390,74,-1.53
blocked,69,17,0.0,0.0,349,93,-1.57
blocked,69,18,26.78,0.0,467,86,-1.71
blocked,69,19,0.0,0.0,408,75,-1.66
blocked,69,20,0.0,0.0,383,101,-1.65
blocked,69,21,26.78,0.0,558,79,-1.51
blocked,69,22,26.78,0.0,427,77,-1.33
blocked,69,23,0.0,0.0,383,91,-1.52
blocked,69,24,0.0,0.0,342,75,-1.53
blocked,69,25,0.0,0.0,375,76,-1.59
blocked,69,26,0.0,0.0,391,77,-1.56
blocked,69,27,0.0,0.0,525,84,-1.58
blocked,69,28,26.78,0.0,367,75,-1.56
blocked,69,29,26.78,0.0,359,83,-1.53
blocked,69,30,26.78,0.26,381,85,-1.81
blocked,69,31,26.78,0.26,374,83,-1.79
blocked,69,32,26.78,0.26,382,103,-1.74
blocked,69,33,26.78,0.26,383,92,-1.75
blocked,69,34,26.78,0.26,333,75,-1.72
blocked,69,35,26.78,0.26,358,76,-1.74
blocked,69,36,26.78,0.26,355,83,-1.73
blocked,69,37,26.78,0.26,374,67,-1.6
blocked,69,38,26.78,0.26,400,92,-1.71
blocked,69,39,26.78,0.26,391,83,-1.64
blocked,69,40,26.78,0.26,341,76,-1.76
blocked,69,41,26.78,0.26,492,84,-1.76
blocked,69,42,26.78,0.26,375,75,-1.66
blocked,69,43,26.78,0.26,465,84,-1.74
blocked,69,44,26.78,0.26,426,82,-1.69
blocked,69,45,26.78,0.26,308,83,-1.74
blocked,69,46,26.78,0.26,341,83,-1.74
